Market,Dma,Females,Males,Population,F0-5,F5-9,F10-17,F18+,F18-34,F18-49,F35-49,F50-64,F65+,M0-5,M5-9,M10-17,M18+,M18-34,M18-49,M35-49,M50-64,M65+,P0-5,P5-9,P10-17,P18+,P18-34,P18-49,P35-49,P50-64,P65+
500,Portland-Auburn,514165.0,494110.0,1008275.0,23132.0,24873.0,43204.0,422956.0,98979.0,190717.0,91738.0,118784.0,113455.0,24829.0,26446.0,46142.0,396693.0,101205.0,190695.0,89490.0,111696.0,94302.0,47961.0,51319.0,89346.0,819649.0,200184.0,381412.0,181228.0,230480.0,207757.0
501,New York,10948865.0,10292042.0,21240907.0,623121.0,598857.0,1013685.0,8713202.0,2457307.0,4571990.0,2114683.0,2202999.0,1938213.0,651443.0,625237.0,1058921.0,7956441.0,2456171.0,4489077.0,2032906.0,2031511.0,1435853.0,1274564.0,1224094.0,2072606.0,16669643.0,4913478.0,9061067.0,4147589.0,4234510.0,3374066.0
502,Binghamton,167737.0,164939.0,332676.0,8113.0,8192.0,14966.0,136466.0,36390.0,63370.0,26980.0,36402.0,36694.0,8610.0,9399.0,15325.0,131605.0,38810.0,65523.0,26713.0,35617.0,30465.0,16723.0,17591.0,30291.0,268071.0,75200.0,128893.0,53693.0,72019.0,67159.0
503,Macon,339570.0,331608.0,671178.0,19117.0,19414.0,34781.0,266258.0,75838.0,136821.0,60983.0,68087.0,61350.0,19973.0,20636.0,36615.0,254384.0,80853.0,143252.0,62399.0,64126.0,47006.0,39090.0,40050.0,71396.0,520642.0,156691.0,280073.0,123382.0,132213.0,108356.0
504,Philadelphia,4187378.0,3947414.0,8134792.0,228328.0,237483.0,398289.0,3323278.0,930060.0,1701447.0,771387.0,861642.0,760189.0,239269.0,242597.0,419497.0,3046051.0,938706.0,1678084.0,739378.0,793902.0,574065.0,467597.0,480080.0,817786.0,6369329.0,1868766.0,3379531.0,1510765.0,1655544.0,1334254.0
505,Detroit,4424597.0,4246013.0,8670610.0,239155.0,245561.0,429533.0,3510348.0,945531.0,1759046.0,813515.0,933189.0,818113.0,251078.0,254304.0,451870.0,3288761.0,976675.0,1762421.0,785746.0,882100.0,644240.0,490233.0,499865.0,881403.0,6799109.0,1922206.0,3521467.0,1599261.0,1815289.0,1462353.0
506,Boston (Manchester),3394790.0,3232241.0,6627031.0,168405.0,169513.0,302892.0,2753980.0,798852.0,1430831.0,631979.0,711879.0,611270.0,175806.0,179012.0,314853.0,2562570.0,806279.0,1418609.0,612330.0,669607.0,474354.0,344211.0,348525.0,617745.0,5316550.0,1605131.0,2849440.0,1244309.0,1381486.0,1085624.0
507,Savannah,2912971.0,2768360.0,5681331.0,172301.0,184780.0,305436.0,2250454.0,680313.0,1262230.0,581917.0,549463.0,438761.0,181155.0,187907.0,317921.0,2081377.0,691300.0,1236174.0,544874.0,504163.0,341040.0,353456.0,372687.0,623357.0,4331831.0,1371613.0,2498404.0,1126791.0,1053626.0,779801.0
508,Pittsburgh,1426592.0,1371089.0,2797681.0,68846.0,70899.0,117454.0,1169393.0,302615.0,546892.0,244277.0,308913.0,313588.0,72186.0,71726.0,125127.0,1102050.0,319913.0,567339.0,247426.0,292925.0,241786.0,141032.0,142625.0,242581.0,2271443.0,622528.0,1114231.0,491703.0,601838.0,555374.0
509,Ft. Wayne,1060598.0,1026133.0,2086731.0,65251.0,70008.0,115551.0,809788.0,225054.0,425046.0,199992.0,205478.0,179264.0,67891.0,72031.0,123028.0,763183.0,227494.0,423595.0,196101.0,197846.0,141742.0,133142.0,142039.0,238579.0,1572971.0,452548.0,848641.0,396093.0,403324.0,321006.0
510,Cleveland-Akron (Canton),1958009.0,1853989.0,3811998.0,104504.0,106769.0,187113.0,1559623.0,405438.0,747690.0,342252.0,414969.0,396964.0,109517.0,112341.0,194221.0,1437910.0,411905.0,743749.0,331844.0,387040.0,307121.0,214021.0,219110.0,381334.0,2997533.0,817343.0,1491439.0,674096.0,802009.0,704085.0
511,"Washington, Dc (Hagrstwn)",4486319.0,4332793.0,8819112.0,265983.0,268549.0,446776.0,3505011.0,990519.0,1908535.0,918016.0,896018.0,700458.0,278568.0,280305.0,464906.0,3309014.0,1009117.0,1903571.0,894454.0,848305.0,557138.0,544551.0,548854.0,911682.0,6814025.0,1999636.0,3812106.0,1812470.0,1744323.0,1257596.0
512,Baltimore,2277147.0,2122648.0,4399795.0,126074.0,130447.0,213621.0,1807005.0,499482.0,927884.0,428402.0,473966.0,405155.0,131312.0,135346.0,222742.0,1633248.0,495583.0,894418.0,398835.0,430966.0,307864.0,257386.0,265793.0,436363.0,3440253.0,995065.0,1822302.0,827237.0,904932.0,713019.0
513,Flint-Saginaw-Bay City,578251.0,556088.0,1134339.0,30210.0,32177.0,53540.0,462324.0,120627.0,219795.0,99168.0,124013.0,118516.0,31476.0,33486.0,57609.0,433517.0,123237.0,220590.0,97353.0,117142.0,95785.0,61686.0,65663.0,111149.0,895841.0,243864.0,440385.0,196521.0,241155.0,214301.0
514,Buffalo,4107723.0,3897777.0,8005500.0,217826.0,218619.0,365217.0,3306061.0,928969.0,1648251.0,719282.0,850732.0,807078.0,228294.0,224509.0,384798.0,3060176.0,947836.0,1653504.0,705668.0,794079.0,612593.0,446120.0,443128.0,750015.0,6366237.0,1876805.0,3301755.0,1424950.0,1644811.0,1419671.0
515,Cincinnati,1220123.0,1176199.0,2396322.0,72602.0,76835.0,125558.0,945128.0,266026.0,492264.0,226238.0,246359.0,206505.0,75887.0,79325.0,131724.0,889263.0,271387.0,491589.0,220202.0,233704.0,163970.0,148489.0,156160.0,257282.0,1834391.0,537413.0,983853.0,446440.0,480063.0,370475.0
516,Erie,201068.0,195518.0,396586.0,10828.0,11760.0,18109.0,160371.0,42502.0,76669.0,34167.0,42468.0,41234.0,11048.0,11275.0,20299.0,152896.0,43852.0,77494.0,33642.0,41336.0,34066.0,21876.0,23035.0,38408.0,313267.0,86354.0,154163.0,67809.0,83804.0,75300.0
517,Charlotte,1699746.0,1613858.0,3313604.0,96146.0,102182.0,174687.0,1326731.0,372440.0,718913.0,346473.0,332086.0,275732.0,100670.0,103390.0,183448.0,1226350.0,370153.0,699721.0,329568.0,312147.0,214482.0,196816.0,205572.0,358135.0,2553081.0,742593.0,1418634.0,676041.0,644233.0,490214.0
518,Greensboro-H.Point-W.Salem,947732.0,875867.0,1823599.0,50069.0,53235.0,92990.0,751438.0,203566.0,378242.0,174676.0,194197.0,178999.0,52117.0,56196.0,95548.0,672006.0,192260.0,354760.0,162500.0,179729.0,137517.0,102186.0,109431.0,188538.0,1423444.0,395826.0,733002.0,337176.0,373926.0,316516.0
519,"Charleston, Sc",473429.0,448110.0,921539.0,26825.0,28171.0,42630.0,375803.0,107425.0,196931.0,89506.0,95124.0,83748.0,27254.0,28918.0,44894.0,347044.0,109896.0,195404.0,85508.0,84229.0,67411.0,54079.0,57089.0,87524.0,722847.0,217321.0,392335.0,175014.0,179353.0,151159.0
520,Augusta-Aiken,3631337.0,3426679.0,7058016.0,203116.0,214967.0,354472.0,2858782.0,789583.0,1460370.0,670787.0,727986.0,670426.0,213283.0,218242.0,374502.0,2620652.0,802951.0,1433265.0,630314.0,654767.0,532620.0,416399.0,433209.0,728974.0,5479434.0,1592534.0,2893635.0,1301101.0,1382753.0,1203046.0
521,Providence-New Bedford,833913.0,787186.0,1621099.0,41267.0,42741.0,73483.0,676422.0,189698.0,340828.0,151130.0,177698.0,157896.0,42960.0,42619.0,78927.0,622680.0,191721.0,337411.0,145690.0,165181.0,120088.0,84227.0,85360.0,152410.0,1299102.0,381419.0,678239.0,296820.0,342879.0,277984.0
522,"Columbus, Ga (Opelika, Al)",299251.0,291931.0,591182.0,18408.0,17732.0,29327.0,233784.0,74736.0,128978.0,54242.0,56025.0,48781.0,18723.0,18771.0,30565.0,223872.0,83284.0,135559.0,52275.0,51411.0,36902.0,37131.0,36503.0,59892.0,457656.0,158020.0,264537.0,106517.0,107436.0,85683.0
523,Burlington-Plattsburgh,444822.0,445363.0,890185.0,19697.0,21260.0,37455.0,366410.0,96889.0,173722.0,76833.0,100406.0,92282.0,20988.0,23276.0,39005.0,362094.0,107559.0,185733.0,78174.0,97089.0,79272.0,40685.0,44536.0,76460.0,728504.0,204448.0,359455.0,155007.0,197495.0,171554.0
