Market,Permanent households or heads,Residents in permanent households,Average residents per household,Variance of residents per household,"Average monthly income (heads, all)","Variance of income (heads, all)","Average monthly income (heads, with income)","Variance of income (heads, with income)","Average monthly income (ages 10+, all)","Variance of income (ages 10+, all)","Average monthly income (ages 10+, with income)","Variance of income (ages 10+, with income)",Municipality
1200013,3459,12494,3.61375,3.265625,749.39375,14297083.816875,868.380625,15486923.69,384.9925,5209780.1125,715.759375,9040087.215,Acre ACRELÂNDIA
1200054,1539,6023,4.658,4.718,446.273,410419.46,666.883,479585.356,242.702,284293.267,585.571,433024.275,Acre ASSIS BRASIL
1200104,5930,21288,3.926129032258064,5.691935483870968,626.7174193548387,960619.197096774,745.0006451612903,1022318.4022580644,353.29387096774195,549646.7974193548,646.0041935483871,769581.8977419354,Acre BRASILÉIA
1200138,2330,8435,3.6,3.5650000000000004,813.7321428571429,6836285.952857142,938.3707142857144,7292629.899999999,425.2921428571429,2679213.2185714287,746.3014285714286,4127853.897142857,Acre BUJARI
1200179,2353,8768,3.523888888888889,3.552222222222222,665.8283333333334,1247764.1616666666,756.6138888888888,1291880.2738888888,357.74,596034.5138888889,647.4794444444445,800322.555,Acre CAPIXABA
1200203,18581,78089,4.329186046511628,4.650232558139535,776.606511627907,4738780.958023256,927.401046511628,5070674.592093024,421.41674418604646,2452152.5506976745,795.2383720930233,3851658.367325581,Acre CRUZEIRO DO SUL
1200252,4391,15026,3.4604166666666667,3.2412499999999995,713.2175000000001,1426177.5245833334,804.3783333333332,1499882.5058333334,414.54833333333335,855161.69375,708.6929166666667,1172435.4595833337,Acre EPITACIOLÂNDIA
1200302,7037,32301,4.7955813953488375,5.921395348837209,455.9427906976744,952619.4551162792,620.1744186046511,1064694.3141860464,227.83651162790696,491008.2713953489,535.8827906976744,737361.1767441861,Acre FEIJÓ
1200328,1303,6567,5.017272727272727,6.011818181818182,322.4081818181818,260258.6463636364,594.8163636363636,235100.91545454544,180.70636363636365,180912.34181818183,516.1690909090909,246238.70909090908,Acre JORDÃO
1200344,1858,7942,4.57,6.09076923076923,567.5376923076923,1027510.5053846152,741.0592307692308,1167415.1907692307,283.6953846153846,545154.8961538462,630.2115384615385,903870.4884615385,Acre MANOEL URBANO
1200351,2749,14165,5.2245,7.061,365.807,334500.7045,533.149,390534.459,181.9695,168722.3065,468.0725000000001,278064.8965,Acre MARECHAL THAUMATURGO
1200336,3586,15134,4.457272727272727,4.97409090909091,435.61,718244.6109090908,637.4372727272728,813274.6077272728,250.8068181818182,470981.4054545455,577.3740909090909,711651.6436363636,Acre MÂNCIO LIMA
1200385,4742,17142,3.600909090909091,3.495,764.1363636363636,8068565.746363637,901.8436363636364,9852732.699545454,404.6413636363637,3180973.661363636,762.0854545454546,5736441.028636364,Acre PLÁCIDO DE CASTRO
1200807,4020,14843,3.718571428571429,3.8119047619047617,561.4642857142857,5598813.781904762,715.6061904761905,5899067.720476191,310.78190476190474,2174934.6490476187,632.1957142857143,3617453.777619048,Acre PORTO ACRE
1200393,1702,9090,5.359090909090909,7.318181818181818,467.89090909090913,885652.4009090909,695.1736363636363,1264334.9763636363,212.4827272727273,384338.30818181817,588.790909090909,837727.1763636363,Acre PORTO WALTER
1200401,94216,333667,3.5631656804733725,3.207988165680473,1264.5863313609468,11865411.035650888,1442.9254437869822,14377356.22127219,745.6136982248521,6162651.894201184,1201.8466568047336,9944213.018994084,Acre RIO BRANCO
