Market,State,GDP,Median Household Income,Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish,Owner Occupied
AK,Alaska,68712,77678.13,37004.49,271484.57,385851,202578,138639,10914,458461
AL,Alabama,306820,52762.16,28934.19,148299.53,2233209,1302978,877044,58334,3394120
AR,Arkansas,178238,50140.45,27724.35,135282.6,1366102,764742,482695,54899,1972535
AZ,Arizona,521027,62517.21,32506.99,247398.16,3175935,1963916,1462993,487148,4585072
CA,California,3944376,82394.4,39552.64,611807.02,17608894,9554101,8565906,2908005,19053440
CO,Colorado,532489,77036.54,39544.56,375195.85,2946354,1746159,1622853,241475,3803194
CT,Connecticut,347569,81545.55,45668.25,298443.82,1954364,1117449,996000,162889,2407368
DE,Delaware,95414,70001.72,36574.28,259875.64,474774,280523,222043,23474,683590
FL,Florida,1622626,57722.9,32238.89,237406.06,9064459,5463932,4256127,1412948,12740693
GA,Georgia,821989,63000.55,32426.88,201712.55,5026306,2812396,2252662,267586,6719024
HI,Hawaii,109850,83913.3,37009.6,644226.46,746373,372790,334318,13486,861232
IA,Iowa,251481,62577.86,33021.2,156083.47,1670448,958476,617115,49162,2268701
ID,Idaho,122047,59253.86,29493.83,238296.63,794662,470087,328347,48158,1252406
IL,Illinois,1102071,70503.41,37305.62,215922.8,6690195,3777079,3085274,544494,8636520
IN,Indiana,507424,59640.88,30692.58,151176.9,3329372,1903414,1212794,119101,4700089
KS,Kansas,230727,63261.03,32797.73,164184.86,1509484,869434,648613,78102,1971922
KY,Kentucky,283273,53648.02,29123.36,148102.91,2093572,1256424,759332,47933,3006352
LA,Louisiana,315827,51075.19,29092.57,167283.4,1945342,1077369,668806,64269,2784866
MA,Massachusetts,750435,86060.98,45554.95,425716.36,3755481,2146969,2144142,229852,4428557
MD,Maryland,521159,89885.55,43352.32,330346.83,3267069,1806519,1703178,151545,4101829
ME,Maine,93145,60575.66,33773.97,204029.69,697342,430381,319175,6880,997993
MI,Michigan,670690,60642.32,32853.62,166716.21,4890342,2967062,2055131,122811,7258615
MN,Minnesota,480190,75230.84,38880.89,237707.45,3036696,1739929,1398575,78222,4137955
MO,Missouri,430369,58862.86,31839.25,164079.36,3062657,1790768,1250584,68110,4176465
MS,Mississippi,148242,47466.79,25443.94,126808.01,1349864,709100,451199,29149,2007250
MT,Montana,72037,57258.57,32463.19,248977.62,526388,319558,243496,8378,734700
NC,North Carolina,783202,58436.71,31993.26,194804.4,5019831,2936938,2273890,259297,6801084
ND,North Dakota,74914,65356.38,36289.21,203960.72,417893,241434,152653,6821,498989
NE,Nebraska,180930,63831.69,33205.63,165130.33,1031005,587365,409315,51402,1312265
NH,New Hampshire,113589,78913.81,41234.39,271733.83,748779,445612,364685,12977,988912
NJ,New Jersey,817354,86410.01,44153.27,354810.95,4724242,2638798,2513062,496250,5803519
NM,New Mexico,133489,51174.83,27993.37,179110.88,931563,522383,392128,232833,1390565
NV,Nevada,247105,62280.3,32629.18,292496.21,1465320,834838,532997,199038,1740145
NY,New York,2189391,75302.67,41019.51,461826.34,10066483,5696680,5070503,1061362,10724837
OH,Ohio,890207,59344.26,32464.99,154223.8,5875255,3573310,2315539,122361,7869443
OK,Oklahoma,259544,54517.48,29872.93,140553.45,1869043,1069193,682902,94321,2589439
OR,Oregon,322887,67276.13,35392.94,336415.89,2026747,1287248,1013044,126602,2665051
PA,Pennsylvania,987637,65685.75,35517.77,198135.74,6523666,3846808,2906517,248619,8945528
RI,Rhode Island,79040,70141.2,37504.28,278732.71,568020,329698,259644,46373,664047
SC,South Carolina,330779,55780.6,30727.4,180552.49,2381900,1355180,1018306,81646,3513453
SD,South Dakota,73262,59959.85,31414.82,172017.57,458023,256899,169991,8256,601648
TN,Tennessee,534217,56533.38,30868.7,188801.71,3225549,1845024,1308972,96914,4516734
TX,Texas,2636423,13082.97,32176.53,193272.54,13565038,7241477,5662178,2709979,18368930
UT,Utah,279568,74824.46,30985.85,312697.68,1480657,785488,648070,101456,2285876
VA,Virginia,722502,84527.58,41558.87,326536.39,4360454,2450488,2277171,197752,5595409
VT,Vermont,44005,64930.86,35854.52,237538.61,342645,203319,175328,3439,447351
WA,Washington,820074,79331.42,40837.3,402016.83,3685819,2323046,1907238,206861,4863193
WI,Wisconsin,422896,64349.25,34450.11,192674.54,3087719,1819844,1226547,107520,4001455
WV,West Virginia,101685,48952.41,27346.19,129842,805727,518674,273425,10365,1324203
WY,Wyoming,51210,65916.44,34414.78,249829.47,310748,182316,110699,13123,418478
