,DMA Code,DMA Name,CPM,CPC
0,500,Portland-Auburn,9.99665636,1.36732044
1,501,New York,13.67506673,1.41375223
2,502,Binghamton,9.1543054,1.04874011
3,503,Macon,7.68809956,1.30381124
4,504,Philadelphia,11.78393778,1.26716385
5,505,Detroit,10.69559149,1.24876274
6,506,Boston (Manchester),12.02072135,1.28613371
7,507,Savannah,12.81135997,1.11168763
8,508,Pittsburgh,11.13916404,1.33449192
9,509,Ft. Wayne,9.11916828,1.77310828
10,510,Cleveland-Akron (Canton),11.52007408,1.20418219
11,512,Baltimore,12.42972538,1.27437395
12,513,Flint-Saginaw-Bay City,11.16896782,1.1067588
13,514,Buffalo,10.14733635,1.19956012
14,515,Cincinnati,9.95450205,0.93961019
15,516,Erie,9.04025706,0.9859907
16,517,Charlotte,11.21196461,1.25954787
17,518,Greensboro-H.Point-W.Salem,10.62705224,1.36347552
18,520,Augusta-Aiken,8.49491684,0.88509804
19,521,Providence-New Bedford,9.88358757,1.30029077
20,523,Burlington-Plattsburgh,8.45592213,1.25585023
21,524,Atlanta,12.80115624,1.23057041
22,526,Utica,9.51023933,0.82865885
23,527,Indianapolis,9.85764352,1.16640567
24,528,Miami-Ft. Lauderdale,14.49583107,1.3072604
25,529,Louisville,9.09280919,1.6476928
26,530,Tallahassee-Thomasville,9.88543419,1.25067786
27,532,Albany-Schenectady-Troy,10.43990781,1.26244093
28,533,Hartford & New Haven,11.72279716,1.2927747
29,534,Orlando-Daytona Bch-Melbrn,12.5484325,1.34155686
30,536,Youngstown,8.65443566,1.3129288
31,537,Bangor,14.18854547,1.36725984
32,539,Tampa-St. Pete (Sarasota),13.27364337,1.28444622
33,540,Traverse City-Cadillac,11.02425136,1.18383499
34,541,Lexington,8.81189329,1.06932325
35,542,Dayton,11.12503436,1.13055538
36,543,Springfield-Holyoke,10.43055043,1.09704848
37,544,Norfolk-Portsmth-Newpt Nws,10.75038846,1.22523117
38,545,Greenville-N.Bern-Washngtn,9.91227035,1.23087075
39,547,Toledo,9.72323723,1.15604173
40,548,West Palm Beach-Ft. Pierce,12.62548316,1.44827582
41,549,Watertown,10.54317868,1.27221023
42,550,Wilmington,12.309766,1.31607455
43,551,Lansing,9.93908339,1.11118952
44,552,Presque Isle,7.38329753,1.21332189
45,553,Marquette,9.24041921,2.18997935
