,DMA Code,DMA Name,2022
0,500,Portland-Auburn,11230401.534598202
1,501,New York,125693661.82393128
2,502,Binghamton,6088613.4381500315
3,503,Macon,4089189.911239642
4,504,Philadelphia,50873534.71543526
5,505,Detroit,77385974.33566684
6,506,Boston (Manchester),88048514.40989728
7,507,Savannah,9023821.675349614
8,508,Pittsburgh,49392777.133764714
9,509,Ft. Wayne,12822315.626759654
10,510,Cleveland-Akron (Canton),43059931.80224466
11,511,"Washington, Dc (Hagrstwn)",65196003.32449662
12,512,Baltimore,38264599.965888575
13,513,Flint-Saginaw-Bay City,8333711.806109991
14,514,Buffalo,39950660.919387355
15,515,Cincinnati,35232031.41829437
16,516,Erie,8389036.1093029
17,517,Charlotte,47558902.55681518
18,518,Greensboro-H.Point-W.Salem,17399750.11594161
19,519,"Charleston, Sc",18737035.93254328
20,520,Augusta-Aiken,6597794.090759089
21,521,Providence-New Bedford,25729417.058045805
22,522,"Columbus, Ga (Opelika, Al)",5635756.064897104
23,523,Burlington-Plattsburgh,4701299.148186051
24,524,Atlanta,51292767.28188515
25,525,"Albany, Ga",1823982.9845272836
26,526,Utica,2141174.426956013
27,527,Indianapolis,36973287.186240375
28,528,Miami-Ft. Lauderdale,157133300.110838
29,529,Louisville,27232219.981271733
30,530,Tallahassee-Thomasville,7765326.022090895
31,531,"Tri-Cities, Tn-Va",3894297.911868771
32,532,Albany-Schenectady-Troy,13480631.620114962
33,533,Hartford & New Haven,50013264.429300725
34,534,Orlando-Daytona Bch-Melbrn,49525382.144100085
35,535,"Columbus, Oh",56405965.32872037
36,536,Youngstown,6810217.279025769
37,537,Bangor,4128639.584760596
38,538,"Rochester, Ny",3885811.6393793738
39,539,Tampa-St. Pete (Sarasota),53248490.48572739
40,540,Traverse City-Cadillac,925530.0989359549
41,541,Lexington,6328611.777860359
42,542,Dayton,16359887.221016292
43,543,Springfield-Holyoke,17572983.549182076
44,544,Norfolk-Portsmth-Newpt Nws,2225038.896789837
45,545,Greenville-N.Bern-Washngtn,5612975.355313613
46,546,"Columbia, Sc",14665362.012328263
47,547,Toledo,12387630.936933149
48,548,West Palm Beach-Ft. Pierce,7589009.471819942
49,549,Watertown,5350850.325806686
50,550,Wilmington,8738018.737142691
51,551,Lansing,10755435.809179638
52,552,Presque Isle,2633769.0
53,553,Marquette,1482464.9482340417
54,554,Wheeling-Steubenville,2176265.0642144214
55,555,Syracuse,18342366.038552914
56,556,Richmond-Petersburg,15102222.34712038
57,557,Knoxville,12618843.170621276
58,558,Lima,5545349.10612932
59,559,Bluefield-Beckley-Oak Hill,1630461.8264193342
60,560,Raleigh-Durham (Fayetvlle),39302118.61128463
61,561,Jacksonville,44458894.56729241
62,563,Grand Rapids-Kalmzoo-B.Crk,21010598.71430508
63,564,Charleston-Huntington,3169754.381840502
64,565,Elmira (Corning),3452490.0937617896
65,566,Harrisburg-Lncstr-Leb-York,19038902.842203997
66,567,Greenvll-Spart-Ashevll-And,13496311.2766895
67,569,Harrisonburg,6760570.447186623
