,DMA Code,DMA Name,universe,only_english,total_spanish,spanish_limited_english,spanish_not_limited_english,total_other_indo_european,other_indo_european_limited_english,other_indo_european_not_limited_english,total_asian_and_pacific_islander,asian_and_pacific_islander_limited_english,asian_and_pacific_islander_not_limited_english,total_other,other_limited_english,other_not_limited_english,total_not_limited_english,total_limited_english
0,500,Portland-Auburn,413937.0,376668.0,5528.0,453.0,5075.0,25476.0,2359.0,23117.0,3748.0,880.0,2868.0,2517.0,698.0,1819.0,409547.0,4390.0
1,501,New York,7644431.0,4651313.0,1445609.0,397228.0,1048381.0,915052.0,191365.0,723687.0,474134.0,157710.0,316424.0,158323.0,24114.0,134209.0,6874014.0,770417.0
2,502,Binghamton,138288.0,126718.0,3426.0,422.0,3004.0,5426.0,671.0,4755.0,2121.0,407.0,1714.0,597.0,124.0,473.0,136664.0,1624.0
3,503,Macon,242735.0,228704.0,7804.0,1577.0,6227.0,3123.0,374.0,2749.0,2493.0,697.0,1796.0,611.0,60.0,551.0,240027.0,2708.0
4,504,Philadelphia,3005381.0,2448056.0,260109.0,60957.0,199152.0,167733.0,28342.0,139391.0,97286.0,26876.0,70410.0,32197.0,4412.0,27785.0,2884794.0,120587.0
5,505,Detroit,3389282.0,2967895.0,98527.0,13813.0,84714.0,158241.0,24506.0,133735.0,78824.0,17927.0,60897.0,85795.0,20989.0,64806.0,3312047.0,77235.0
6,506,Boston (Manchester),2485516.0,1914843.0,191282.0,49620.0,141662.0,235855.0,42428.0,193427.0,106873.0,31191.0,75682.0,36663.0,7207.0,29456.0,2355070.0,130446.0
7,507,Savannah,1968250.0,1674489.0,148009.0,35422.0,112587.0,68741.0,7390.0,61351.0,58150.0,15728.0,42422.0,18861.0,2113.0,16748.0,1907597.0,60653.0
8,508,Pittsburgh,1187767.0,1112911.0,17411.0,1631.0,15780.0,36714.0,4408.0,32306.0,15423.0,3631.0,11792.0,5308.0,862.0,4446.0,1177235.0,10532.0
9,509,Ft. Wayne,786350.0,724832.0,28937.0,4499.0,24438.0,17770.0,1954.0,15816.0,12177.0,3377.0,8800.0,2634.0,526.0,2108.0,775994.0,10356.0
10,510,Cleveland-Akron (Canton),1555695.0,1412250.0,47696.0,8233.0,39463.0,65215.0,12042.0,53173.0,16870.0,4245.0,12625.0,13664.0,2539.0,11125.0,1528636.0,27059.0
11,511,"Washington, Dc (Hagrstwn)",3102543.0,2410055.0,270599.0,53742.0,216857.0,184574.0,17022.0,167552.0,160754.0,32902.0,127852.0,76561.0,9514.0,67047.0,2989363.0,113180.0
12,512,Baltimore,1637160.0,1422413.0,71010.0,12326.0,58684.0,72367.0,9736.0,62631.0,47349.0,9989.0,37360.0,24021.0,2518.0,21503.0,1602591.0,34569.0
13,513,Flint-Saginaw-Bay City,464572.0,442624.0,8577.0,885.0,7692.0,7496.0,769.0,6727.0,3074.0,560.0,2514.0,2801.0,616.0,2185.0,461742.0,2830.0
14,514,Buffalo,3188666.0,2788172.0,158857.0,34647.0,124210.0,142121.0,26530.0,115591.0,70029.0,21747.0,48282.0,29487.0,5768.0,23719.0,3099974.0,88692.0
15,515,Cincinnati,917810.0,855426.0,22953.0,4320.0,18633.0,21086.0,2457.0,18629.0,12323.0,2507.0,9816.0,6022.0,1124.0,4898.0,907402.0,10408.0
16,516,Erie,162574.0,151531.0,3421.0,568.0,2853.0,5069.0,970.0,4099.0,1309.0,225.0,1084.0,1244.0,430.0,814.0,160381.0,2193.0
17,517,Charlotte,1194068.0,1055592.0,81100.0,22122.0,58978.0,30219.0,3898.0,26321.0,20685.0,4786.0,15899.0,6472.0,948.0,5524.0,1162314.0,31754.0
18,518,Greensboro-H.Point-W.Salem,706883.0,636602.0,45216.0,11453.0,33763.0,11529.0,1374.0,10155.0,9570.0,2006.0,7564.0,3966.0,761.0,3205.0,691289.0,15594.0
19,519,"Charleston, Sc",333529.0,309660.0,13083.0,2992.0,10091.0,6181.0,523.0,5658.0,3812.0,649.0,3163.0,793.0,7.0,786.0,329358.0,4171.0
20,520,Augusta-Aiken,2561154.0,2357508.0,118839.0,26816.0,92023.0,48223.0,4509.0,43714.0,28789.0,6441.0,22348.0,7795.0,970.0,6825.0,2522418.0,38736.0
21,521,Providence-New Bedford,627931.0,475822.0,58382.0,16960.0,41422.0,77208.0,14172.0,63036.0,11551.0,2818.0,8733.0,4968.0,783.0,4185.0,593198.0,34733.0
22,522,"Columbus, Ga (Opelika, Al)",220075.0,201146.0,9816.0,1536.0,8280.0,4429.0,428.0,4001.0,3693.0,1272.0,2421.0,991.0,123.0,868.0,216716.0,3359.0
23,523,Burlington-Plattsburgh,361784.0,335601.0,5135.0,271.0,4864.0,15974.0,1191.0,14783.0,3209.0,695.0,2514.0,1865.0,316.0,1549.0,359311.0,2473.0
24,524,Atlanta,3503963.0,2960771.0,287469.0,73070.0,214399.0,123848.0,13569.0,110279.0,89969.0,23961.0,66008.0,41906.0,6430.0,35476.0,3386933.0,117030.0
25,525,"Albany, Ga",149666.0,138459.0,8721.0,2328.0,6393.0,1403.0,239.0,1164.0,808.0,195.0,613.0,275.0,0.0,275.0,146904.0,2762.0
26,526,Utica,64071.0,60163.0,1171.0,43.0,1128.0,2186.0,160.0,2026.0,321.0,87.0,234.0,230.0,2.0,228.0,63779.0,292.0
27,527,Indianapolis,1156153.0,1058711.0,50050.0,12954.0,37096.0,21912.0,2600.0,19312.0,18574.0,5725.0,12849.0,6906.0,1274.0,5632.0,1133600.0,22553.0
28,528,Miami-Ft. Lauderdale,1564315.0,621361.0,755741.0,242907.0,512834.0,149432.0,34759.0,114673.0,22087.0,5205.0,16882.0,15694.0,2067.0,13627.0,1279377.0,284938.0
29,529,Louisville,679557.0,633803.0,22047.0,5188.0,16859.0,12875.0,1761.0,11114.0,7111.0,1727.0,5384.0,3721.0,1171.0,2550.0,669710.0,9847.0
30,530,Tallahassee-Thomasville,279457.0,252867.0,14679.0,2347.0,12332.0,6600.0,479.0,6121.0,3946.0,691.0,3255.0,1365.0,93.0,1272.0,275847.0,3610.0
31,531,"Tri-Cities, Tn-Va",317265.0,307789.0,5003.0,494.0,4509.0,2589.0,108.0,2481.0,1372.0,297.0,1075.0,512.0,53.0,459.0,316313.0,952.0
32,532,Albany-Schenectady-Troy,556811.0,503986.0,18019.0,2562.0,15457.0,23177.0,3126.0,20051.0,8774.0,2155.0,6619.0,2855.0,307.0,2548.0,548661.0,8150.0
33,533,Hartford & New Haven,1024077.0,799826.0,111465.0,24910.0,86555.0,78980.0,13720.0,65260.0,24124.0,6204.0,17920.0,9682.0,1243.0,8439.0,978000.0,46077.0
34,534,Orlando-Daytona Bch-Melbrn,1500670.0,1142050.0,249022.0,48229.0,200793.0,70545.0,9951.0,60594.0,29225.0,6096.0,23129.0,9828.0,1384.0,8444.0,1435010.0,65660.0
35,535,"Columbus, Oh",962601.0,872749.0,25533.0,5318.0,20215.0,27534.0,3674.0,23860.0,19711.0,5094.0,14617.0,17074.0,3347.0,13727.0,945168.0,17433.0
36,536,Youngstown,272131.0,257236.0,5205.0,798.0,4407.0,7790.0,906.0,6884.0,1116.0,202.0,914.0,784.0,178.0,606.0,270047.0,2084.0
37,537,Bangor,145362.0,137143.0,1468.0,95.0,1373.0,4997.0,278.0,4719.0,937.0,163.0,774.0,817.0,64.0,753.0,144762.0,600.0
38,538,"Rochester, Ny",4201703.0,2679124.0,629151.0,172092.0,457059.0,518161.0,125979.0,392182.0,295746.0,119036.0,176710.0,79521.0,13106.0,66415.0,3771490.0,430213.0
39,539,Tampa-St. Pete (Sarasota),1837181.0,1477002.0,233570.0,51214.0,182356.0,82979.0,10961.0,72018.0,32850.0,6692.0,26158.0,10780.0,1341.0,9439.0,1766973.0,70208.0
40,540,Traverse City-Cadillac,1689302.0,1532900.0,50600.0,7042.0,43558.0,48818.0,6458.0,42360.0,22528.0,4938.0,17590.0,34456.0,6938.0,27518.0,1663926.0,25376.0
41,541,Lexington,503971.0,475000.0,14495.0,3351.0,11144.0,6901.0,927.0,5974.0,5315.0,1565.0,3750.0,2260.0,370.0,1890.0,497758.0,6213.0
42,542,Dayton,489570.0,462241.0,9248.0,1487.0,7761.0,8362.0,656.0,7706.0,6604.0,1622.0,4982.0,3115.0,673.0,2442.0,485132.0,4438.0
43,543,Springfield-Holyoke,268225.0,208617.0,36588.0,8755.0,27833.0,16897.0,2717.0,14180.0,4524.0,1178.0,3346.0,1599.0,203.0,1396.0,255372.0,12853.0
44,544,Norfolk-Portsmth-Newpt Nws,1321170.0,1171208.0,68966.0,12510.0,56456.0,37310.0,3164.0,34146.0,30381.0,5662.0,24719.0,13305.0,2190.0,11115.0,1297644.0,23526.0
45,545,Greenville-N.Bern-Washngtn,309479.0,280612.0,19736.0,4525.0,15211.0,4294.0,269.0,4025.0,4034.0,848.0,3186.0,803.0,67.0,736.0,303770.0,5709.0
46,546,"Columbia, Sc",414616.0,381933.0,18355.0,3692.0,14663.0,7939.0,874.0,7065.0,4957.0,848.0,4109.0,1432.0,156.0,1276.0,409046.0,5570.0
