,DMA Code,DMA Name,total,0_10000,10000_14999,15000_19999,20000_24999,25000_29999,30000_34999,35000_39999,40000_49999,50000_59999,60000_69999,70000_79999,80000_89999,90000_99999,100000_124999,125000_149999,150000_174999,175000_199999,200000_249999,250000_299999,300000_399999,400000_499999,500000_749999,750000_999999,1000000_1499999,1500000_1999999,2000000_more
0,500,Portland-Auburn,311465.0,2497.0,1582.0,2079.0,1933.0,1654.0,1894.0,1257.0,2808.0,3825.0,3796.0,5026.0,6505.0,5477.0,17846.0,19874.0,29405.0,23220.0,46592.0,39389.0,45329.0,21047.0,17840.0,5425.0,2782.0,957.0,1426.0
1,501,New York,4136376.0,29324.0,6379.0,8187.0,8767.0,8292.0,7416.0,7192.0,12088.0,13362.0,11318.0,13302.0,13672.0,12718.0,54385.0,51360.0,95740.0,83989.0,250143.0,312377.0,751394.0,651000.0,925753.0,387562.0,212477.0,78826.0,129353.0
2,502,Binghamton,97721.0,1452.0,1169.0,701.0,922.0,688.0,960.0,602.0,2737.0,3206.0,4969.0,6371.0,7802.0,6535.0,13316.0,10031.0,11257.0,5539.0,7858.0,4812.0,3275.0,1283.0,1401.0,418.0,190.0,51.0,176.0
3,503,Macon,158768.0,3283.0,2832.0,2238.0,3020.0,2416.0,4180.0,2658.0,5859.0,7176.0,8199.0,7452.0,9180.0,7028.0,13822.0,15459.0,15964.0,10716.0,12414.0,8892.0,8386.0,3236.0,2715.0,773.0,450.0,61.0,359.0
4,504,Philadelphia,2072137.0,13823.0,7755.0,8452.0,7269.0,6600.0,6845.0,6116.0,16362.0,20207.0,26656.0,28671.0,35073.0,35254.0,108577.0,108987.0,171815.0,146446.0,294109.0,257437.0,349730.0,176608.0,160709.0,44430.0,19112.0,6166.0,8928.0
5,505,Detroit,2477487.0,45016.0,26014.0,21070.0,23836.0,21864.0,29124.0,18527.0,47832.0,55011.0,63413.0,66767.0,76655.0,62911.0,190582.0,187586.0,245176.0,172379.0,304806.0,236452.0,295701.0,133355.0,100002.0,29060.0,13002.0,4909.0,6437.0
6,506,Boston (Manchester),1624118.0,9206.0,1813.0,2215.0,3153.0,2535.0,3259.0,2324.0,4342.0,4619.0,3935.0,4604.0,4441.0,4219.0,19423.0,22235.0,42271.0,44955.0,128641.0,156010.0,334589.0,255272.0,339495.0,122646.0,63290.0,20392.0,24234.0
7,507,Savannah,1302937.0,18303.0,9070.0,9751.0,10481.0,10897.0,11354.0,9199.0,21029.0,26431.0,26146.0,33900.0,40650.0,34532.0,90514.0,96044.0,123567.0,87536.0,152874.0,121043.0,147384.0,80865.0,85772.0,27984.0,15394.0,5424.0,6793.0
8,508,Pittsburgh,843231.0,12628.0,7242.0,6232.0,7612.0,6933.0,8807.0,7957.0,19779.0,26555.0,29963.0,35592.0,41235.0,33864.0,82238.0,72062.0,90199.0,57704.0,89010.0,65023.0,72498.0,31107.0,26143.0,7290.0,3289.0,1013.0,1256.0
9,509,Ft. Wayne,593687.0,9266.0,4032.0,3421.0,3533.0,3418.0,4696.0,3269.0,11577.0,14737.0,18947.0,25266.0,30766.0,26425.0,64152.0,60105.0,60597.0,41249.0,64100.0,46575.0,51180.0,21821.0,15644.0,5272.0,2265.0,507.0,867.0
