,DMA Code,DMA Name,universe,internet_any_source,dialup_only,broadband_any_source,cellular_data,cellular_data_only,broadband_cable_fiber_or_dsl,broadband_only,satellite,satellite_only,other_only,internet_without_subscription,no_internet,total_no_internet_and_no_subscription
0,500,Portland-Auburn,413937.0,333841.0,3661.0,330180.0,182907.0,19314.0,300616.0,137603.0,13705.0,3623.0,718.0,15270.0,64826.0,80096.0
1,501,New York,7644431.0,6231363.0,29922.0,6201441.0,3687927.0,355812.0,5741799.0,2372697.0,214394.0,30704.0,11044.0,234839.0,1178229.0,1413068.0
2,502,Binghamton,138288.0,106827.0,1176.0,105651.0,54454.0,6272.0,94221.0,46651.0,6500.0,2344.0,139.0,4853.0,26608.0,31461.0
3,503,Macon,242735.0,160416.0,1368.0,159048.0,89602.0,20316.0,129795.0,61625.0,13276.0,3988.0,382.0,10449.0,71870.0,82319.0
4,504,Philadelphia,3005381.0,2417824.0,16336.0,2401488.0,1487458.0,154385.0,2202810.0,865309.0,80966.0,12318.0,3458.0,92512.0,495045.0,587557.0
5,505,Detroit,3389282.0,2690082.0,19818.0,2670264.0,1664258.0,239789.0,2320829.0,922013.0,158825.0,38973.0,5881.0,134683.0,564517.0,699200.0
6,506,Boston (Manchester),2485516.0,2113105.0,10433.0,2102672.0,1332780.0,114197.0,1953862.0,728327.0,63549.0,10320.0,3707.0,64349.0,308062.0,372411.0
7,507,Savannah,1968250.0,1526908.0,9542.0,1517366.0,975834.0,150922.0,1305164.0,489899.0,114386.0,21581.0,3264.0,86470.0,354872.0,441342.0
8,508,Pittsburgh,1187767.0,921073.0,9286.0,911787.0,551257.0,71550.0,810716.0,336324.0,39617.0,10426.0,1675.0,35747.0,230947.0,266694.0
9,509,Ft. Wayne,786350.0,623094.0,6778.0,616316.0,395832.0,64801.0,517448.0,197524.0,46791.0,11913.0,1672.0,29920.0,133336.0,163256.0
10,510,Cleveland-Akron (Canton),1555695.0,1197804.0,9855.0,1187949.0,723840.0,108842.0,1037616.0,428717.0,65970.0,12573.0,2900.0,54075.0,303816.0,357891.0
11,511,"Washington, Dc (Hagrstwn)",3102543.0,2640275.0,16615.0,2623660.0,1739483.0,176348.0,2360031.0,814261.0,135555.0,27721.0,5652.0,90252.0,372016.0,462268.0
12,512,Baltimore,1637160.0,1351369.0,8624.0,1342745.0,870365.0,104832.0,1198911.0,442069.0,57463.0,12075.0,2844.0,52112.0,233679.0,285791.0
13,513,Flint-Saginaw-Bay City,464572.0,337252.0,3996.0,333256.0,192954.0,38542.0,269237.0,122881.0,28864.0,10180.0,1464.0,21005.0,106315.0,127320.0
14,514,Buffalo,3188666.0,2445997.0,23024.0,2422973.0,1439718.0,190320.0,2163618.0,911358.0,107530.0,24674.0,4647.0,108496.0,634173.0,742669.0
15,515,Cincinnati,917810.0,729383.0,6937.0,722446.0,459143.0,70098.0,619236.0,239385.0,45184.0,11697.0,2084.0,31548.0,156879.0,188427.0
16,516,Erie,162574.0,123780.0,1879.0,121901.0,70069.0,12768.0,104105.0,47427.0,6761.0,1937.0,361.0,5301.0,33493.0,38794.0
17,517,Charlotte,1194068.0,937534.0,6374.0,931160.0,586540.0,91866.0,803286.0,316282.0,60116.0,12554.0,2832.0,39650.0,216884.0,256534.0
18,518,Greensboro-H.Point-W.Salem,706883.0,509129.0,4740.0,504389.0,291701.0,51970.0,434259.0,196247.0,28813.0,7196.0,1161.0,36939.0,160815.0,197754.0
19,519,"Charleston, Sc",333529.0,250190.0,1466.0,248724.0,163342.0,22376.0,218100.0,78628.0,14409.0,2438.0,395.0,19866.0,63473.0,83339.0
20,520,Augusta-Aiken,2561154.0,1858421.0,14994.0,1843427.0,1157142.0,209331.0,1540914.0,612234.0,142708.0,31412.0,6695.0,111365.0,591368.0,702733.0
21,521,Providence-New Bedford,627931.0,500628.0,2700.0,497928.0,303141.0,34509.0,455470.0,186124.0,13737.0,1669.0,1003.0,18343.0,108960.0,127303.0
22,522,"Columbus, Ga (Opelika, Al)",220075.0,156446.0,1325.0,155121.0,95989.0,19968.0,125403.0,52480.0,13287.0,3383.0,333.0,11187.0,52442.0,63629.0
23,523,Burlington-Plattsburgh,361784.0,285752.0,3406.0,282346.0,139987.0,17174.0,250432.0,128936.0,18556.0,7099.0,805.0,16087.0,59945.0,76032.0
24,524,Atlanta,3503963.0,2810082.0,14456.0,2795626.0,1823611.0,256720.0,2427770.0,879762.0,203454.0,37197.0,6611.0,131747.0,562134.0,693881.0
25,525,"Albany, Ga",149666.0,97446.0,818.0,96628.0,60857.0,17433.0,71551.0,30239.0,10557.0,3230.0,462.0,5845.0,46375.0,52220.0
26,526,Utica,64071.0,48487.0,791.0,47696.0,22949.0,3641.0,39020.0,20654.0,5853.0,2687.0,141.0,2535.0,13049.0,15584.0
