,DMA Code,DMA Name,median
0,500,Portland-Auburn,64693.75638789021
1,501,New York,84630.64857442293
2,502,Binghamton,53276.68692962522
3,503,Macon,48606.09963526814
4,504,Philadelphia,74612.1381853402
5,505,Detroit,66025.63398792011
6,506,Boston (Manchester),89582.6955040651
7,507,Savannah,63345.52438345873
8,508,Pittsburgh,60318.58402691372
9,509,Ft. Wayne,66047.87182535746
10,510,Cleveland-Akron (Canton),57455.425487369095
11,511,"Washington, Dc (Hagrstwn)",101533.94149354266
12,512,Baltimore,84635.10592107133
13,513,Flint-Saginaw-Bay City,50694.69095922824
14,514,Buffalo,61301.41237099494
15,515,Cincinnati,66133.73685255987
16,516,Erie,52577.99959655662
17,517,Charlotte,62519.580293239625
18,518,Greensboro-H.Point-W.Salem,51703.24971059975
19,519,"Charleston, Sc",62831.839809275574
20,520,Augusta-Aiken,55647.900234286804
21,521,Providence-New Bedford,70595.9841835693
22,522,"Columbus, Ga (Opelika, Al)",48521.508975239434
23,523,Burlington-Plattsburgh,63946.3487600892
24,524,Atlanta,67769.12818683228
25,525,"Albany, Ga",42604.464755369416
26,526,Utica,57508.92288099261
27,527,Indianapolis,62146.70985481649
28,528,Miami-Ft. Lauderdale,57118.85168723367
29,529,Louisville,59531.85982421148
30,530,Tallahassee-Thomasville,48932.322711394896
31,531,"Tri-Cities, Tn-Va",43947.5276679095
32,532,Albany-Schenectady-Troy,68115.5997494184
33,533,Hartford & New Haven,75794.86111414671
34,534,Orlando-Daytona Bch-Melbrn,58592.51622635283
35,535,"Columbus, Oh",65109.87582987924
36,536,Youngstown,48275.16298668964
37,537,Bangor,51654.08204227597
38,538,"Rochester, Ny",73850.33146100819
39,539,Tampa-St. Pete (Sarasota),56690.45077225663
40,540,Traverse City-Cadillac,53417.9390582948
41,541,Lexington,50056.37352598893
42,542,Dayton,57808.81605002735
43,543,Springfield-Holyoke,61655.67725260079
44,544,Norfolk-Portsmth-Newpt Nws,71288.0414741089
45,545,Greenville-N.Bern-Washngtn,48802.031828744024
46,546,"Columbia, Sc",53067.03303906923
47,547,Toledo,55041.58361610822
48,548,West Palm Beach-Ft. Pierce,58353.30301880707
49,549,Watertown,66793.14908444558
50,550,Wilmington,54704.437431425766
51,551,Lansing,58780.416725311676
52,552,Presque Isle,43791.0
53,553,Marquette,49365.32765011468
54,554,Wheeling-Steubenville,48467.41169208603
55,555,Syracuse,61070.099912324884
56,556,Richmond-Petersburg,83703.06457815562
57,557,Knoxville,52025.61199482029
58,558,Lima,58426.6286433456
59,559,Bluefield-Beckley-Oak Hill,47988.1162632339
60,560,Raleigh-Durham (Fayetvlle),64617.53964570147
61,561,Jacksonville,57883.28575104083
62,563,Grand Rapids-Kalmzoo-B.Crk,61409.865768542855
63,564,Charleston-Huntington,44408.83350904906
64,565,Elmira (Corning),54430.884587654364
65,566,Harrisburg-Lncstr-Leb-York,67226.65173660748
66,567,Greenvll-Spart-Ashevll-And,57490.10406579351
67,569,Harrisonburg,63992.837153667766
68,570,Myrtle Beach-Florence,44671.75768141045
69,571,Ft. Myers-Naples,58416.59252780329
70,573,Roanoke-Lynchburg,55970.65027406109
71,574,Johnstown-Altoona-St Colge,52912.02878276381
72,575,Chattanooga,59396.12912366155
73,576,Salisbury,61875.69083408743
74,577,Wilkes Barre-Scranton-Hztn,68457.56491764823
75,581,Terre Haute,51603.155611686365
76,582,"Lafayette, In",51957.42299143057
77,583,Alpena,42800.60084477297
78,584,Charlottesville,79040.11586516196
79,588,South Bend-Elkhart,55781.88830241058
80,592,Gainesville,48209.43903403096
81,596,Zanesville,48350.0
82,597,Parkersburg,50270.75087629307
83,598,Clarksburg-Weston,47963.45696325854
84,600,Corpus Christi,53518.758207722494
85,602,Chicago,73191.98111187006
86,603,Joplin-Pittsburg,47980.11432146961
87,604,Columbia-Jefferson City,56058.850880251004
88,605,Topeka,56697.054750009185
89,606,Dothan,48826.143571499844
90,609,St. Louis,60861.10789279564
91,610,Rockford,57819.02196061791
92,611,Rochestr-Mason City-Austin,67839.73735880616
93,612,Shreveport,46961.767591185235
94,613,Minneapolis-St. Paul,75009.80901398293
95,616,Kansas City,68018.70781690573
96,617,Milwaukee,65419.201957183606
97,618,Houston,69604.46203214089
98,619,"Springfield, Mo",51640.370030808495
99,622,New Orleans,53588.26529425461
100,623,Dallas-Ft. Worth,72757.39639941134
101,624,Sioux City,62363.19891707916
102,625,Waco-Temple-Bryan,65413.73522870931
103,626,Victoria,58959.0
104,627,Wichita Falls & Lawton,51342.847796012284
105,628,Monroe-El Dorado,41410.44526388272
106,630,Birmingham (Ann And Tusc),53669.534693290836
107,631,Ottumwa-Kirksville,47138.418938421426
108,632,Paducah-Cape Girard-Harsbg,48174.472850770166
109,633,Odessa-Midland,-2962607.414955587
110,634,Amarillo,53676.62590242514
111,635,Austin,80001.82278121583
112,636,Harlingen-Wslco-Brnsvl-Mca,41074.47840651469
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,62694.550460361774
114,638,St. Joseph,50305.4631705464
115,639,"Jackson, Tn",46471.89777947777
116,640,Memphis,49048.74748329081
117,641,San Antonio,-103736.55730745143
118,642,"Lafayette, La",50862.53116173699
119,643,Lake Charles,52048.82081530904
120,644,"Alexandria, La",46704.883209963096
121,647,Greenwood-Greenville,33347.37630554987
122,648,Champaign&Sprngfld-Decatur,55822.808582519974
123,649,Evansville,53428.8714465043
124,650,Oklahoma City,57656.71986255682
125,651,Lubbock,52320.34941533499
126,652,Omaha,67336.54404933414
127,656,Panama City,52973.01589859522
