Market,DMA Name,median
500,Portland-Auburn,1067.7800223153406
501,New York,1752.006089570469
502,Binghamton,798.9481717947793
503,Macon,759.7309134089616
504,Philadelphia,1323.5769840212263
505,Detroit,1020.0043633608246
506,Boston (Manchester),1683.7842816790808
507,Savannah,1114.6297149382776
508,Pittsburgh,855.3938436869679
509,Ft. Wayne,905.8470564725401
510,Cleveland-Akron (Canton),882.753903595962
511,"Washington, Dc (Hagrstwn)",1740.2258417854316
512,Baltimore,1459.955555429287
513,Flint-Saginaw-Bay City,761.452755305072
514,Buffalo,1002.5434843545063
515,Cincinnati,994.2493208341784
516,Erie,757.8789115097356
517,Charlotte,1000.3034342667379
518,Greensboro-H.Point-W.Salem,808.1166868374024
519,"Charleston, Sc",1133.2604230531751
520,Augusta-Aiken,898.6975141456182
521,Providence-New Bedford,1246.8034438365578
522,"Columbus, Ga (Opelika, Al)",845.0154453281731
523,Burlington-Plattsburgh,1103.2824525239134
524,Atlanta,1144.758830378888
525,"Albany, Ga",686.7691009658238
526,Utica,792.9441278087409
527,Indianapolis,942.9901377559919
528,Miami-Ft. Lauderdale,1387.0520025882195
529,Louisville,892.986927359226
530,Tallahassee-Thomasville,841.4156618529181
531,"Tri-Cities, Tn-Va",601.9307354173482
532,Albany-Schenectady-Troy,1082.0201087396845
533,Hartford & New Haven,1373.8266169581414
534,Orlando-Daytona Bch-Melbrn,1106.0705414593679
535,"Columbus, Oh",1037.219993600652
536,Youngstown,678.7024393213544
537,Bangor,790.4560779676932
538,"Rochester, Ny",1523.0405541534585
539,Tampa-St. Pete (Sarasota),1036.820055788371
540,Traverse City-Cadillac,867.1683129602002
541,Lexington,750.3715272520963
542,Dayton,849.7507882042867
543,Springfield-Holyoke,1127.333040340025
544,Norfolk-Portsmth-Newpt Nws,1267.9845044809322
545,Greenville-N.Bern-Washngtn,858.2413173498986
546,"Columbia, Sc",864.0949420687145
547,Toledo,817.8468638985989
548,West Palm Beach-Ft. Pierce,1004.1490005392122
549,Watertown,1115.1234321682
550,Wilmington,980.2101576485534
551,Lansing,904.4180230610204
552,Presque Isle,618.0
553,Marquette,669.2320684246965
554,Wheeling-Steubenville,578.8638653030313
555,Syracuse,956.0941843635435
556,Richmond-Petersburg,1354.785939872328
557,Knoxville,767.4602934438777
558,Lima,766.0970260977335
559,Bluefield-Beckley-Oak Hill,634.9321581893665
560,Raleigh-Durham (Fayetvlle),1058.7170774859899
561,Jacksonville,995.1692671706859
563,Grand Rapids-Kalmzoo-B.Crk,909.4529877239099
564,Charleston-Huntington,597.0489741390983
565,Elmira (Corning),784.6834952758612
566,Harrisburg-Lncstr-Leb-York,1052.0328940770703
567,Greenvll-Spart-Ashevll-And,928.3216705655724
569,Harrisonburg,878.4728304650312
570,Myrtle Beach-Florence,741.0445274811145
571,Ft. Myers-Naples,1237.84922848806
573,Roanoke-Lynchburg,743.3709549865345
574,Johnstown-Altoona-St Colge,752.2629658714031
575,Chattanooga,950.6794812511715
576,Salisbury,1021.1049757295247
577,Wilkes Barre-Scranton-Hztn,1054.4068300392626
581,Terre Haute,696.7863383192442
582,"Lafayette, In",880.9935939642668
583,Alpena,602.338759110928
584,Charlottesville,1258.1319960026324
588,South Bend-Elkhart,857.1197503711761
592,Gainesville,881.1124309368179
596,Zanesville,735.0
597,Parkersburg,638.4957418404456
598,Clarksburg-Weston,569.5511554727715
600,Corpus Christi,-433152.1639862655
602,Chicago,1261.3665122119821
603,Joplin-Pittsburg,694.4187683976892
604,Columbia-Jefferson City,788.0387169335226
605,Topeka,850.6115246337209
606,Dothan,713.02009793763
609,St. Louis,924.5707567820052
610,Rockford,878.3949996570998
