,DMA Code,DMA Name,per_capita_income
0,500,Portland-Auburn,35940.38665145917
1,501,New York,45310.15661821786
2,502,Binghamton,29749.274801909367
3,503,Macon,25830.701828725018
4,504,Philadelphia,39242.13137815939
5,505,Detroit,36064.96755210994
6,506,Boston (Manchester),47147.97598864409
7,507,Savannah,33303.173468857916
8,508,Pittsburgh,35819.1947337813
9,509,Ft. Wayne,33069.61109505729
10,510,Cleveland-Akron (Canton),32889.1031060352
11,511,"Washington, Dc (Hagrstwn)",47838.022992564336
12,512,Baltimore,41991.94382238264
13,513,Flint-Saginaw-Bay City,28509.791597573567
14,514,Buffalo,34609.84963137843
15,515,Cincinnati,35162.983694177994
16,516,Erie,28660.931697034186
17,517,Charlotte,33923.46713457613
18,518,Greensboro-H.Point-W.Salem,29087.66463460443
19,519,"Charleston, Sc",35585.50283167614
20,520,Augusta-Aiken,29805.204036941825
21,521,Providence-New Bedford,37294.30223015374
22,522,"Columbus, Ga (Opelika, Al)",26583.63907392309
23,523,Burlington-Plattsburgh,35048.91893033471
24,524,Atlanta,34351.16582024863
25,525,"Albany, Ga",22381.153010415266
26,526,Utica,30822.821381736565
27,527,Indianapolis,32426.523061801236
28,528,Miami-Ft. Lauderdale,31717.122747959
29,529,Louisville,31726.11003746896
30,530,Tallahassee-Thomasville,26734.91966742497
31,531,"Tri-Cities, Tn-Va",26012.10166772444
32,532,Albany-Schenectady-Troy,37238.39870614822
33,533,Hartford & New Haven,40928.19394778016
34,534,Orlando-Daytona Bch-Melbrn,31044.548938854896
35,535,"Columbus, Oh",33473.35469794345
36,536,Youngstown,27796.989126311797
37,537,Bangor,29492.30792370155
38,538,"Rochester, Ny",43387.69740515573
39,539,Tampa-St. Pete (Sarasota),33097.30872764408
40,540,Traverse City-Cadillac,29728.169296525335
41,541,Lexington,27866.25357501686
42,542,Dayton,31127.368041672882
43,543,Springfield-Holyoke,33112.90776580195
44,544,Norfolk-Portsmth-Newpt Nws,36414.8666058977
45,545,Greenville-N.Bern-Washngtn,26505.046622833233
46,546,"Columbia, Sc",28830.77216771172
47,547,Toledo,30336.89587537064
48,548,West Palm Beach-Ft. Pierce,34821.208280140294
49,549,Watertown,34233.05407504512
50,550,Wilmington,32946.55048795981
51,551,Lansing,31413.67797527692
52,552,Presque Isle,26774.0
53,553,Marquette,27557.352164882417
54,554,Wheeling-Steubenville,27347.332515439415
55,555,Syracuse,32946.17099720296
56,556,Richmond-Petersburg,42370.969270210226
57,557,Knoxville,29000.172182456834
58,558,Lima,29454.00978322265
59,559,Bluefield-Beckley-Oak Hill,26904.137876873243
60,560,Raleigh-Durham (Fayetvlle),34132.742523024994
61,561,Jacksonville,31660.252116985885
62,563,Grand Rapids-Kalmzoo-B.Crk,31367.478847456707
63,564,Charleston-Huntington,25126.69649501286
64,565,Elmira (Corning),29713.97517207267
65,566,Harrisburg-Lncstr-Leb-York,33669.672545811714
66,567,Greenvll-Spart-Ashevll-And,31609.15256648132
67,569,Harrisonburg,31692.787611375563
68,570,Myrtle Beach-Florence,25003.80231714616
69,571,Ft. Myers-Naples,33325.47446055933
70,573,Roanoke-Lynchburg,30349.286092230817
71,574,Johnstown-Altoona-St Colge,28502.878848473563
72,575,Chattanooga,32785.79043038909
73,576,Salisbury,33957.83708880669
74,577,Wilkes Barre-Scranton-Hztn,35695.28949740467
75,581,Terre Haute,26530.033301114487
76,582,"Lafayette, In",27610.420842883803
77,583,Alpena,26305.482653823372
78,584,Charlottesville,41720.411840982764
79,588,South Bend-Elkhart,29590.736342201177
80,592,Gainesville,28125.675396504772
81,596,Zanesville,26376.0
82,597,Parkersburg,29159.045619849927
83,598,Clarksburg-Weston,26531.38623884374
84,600,Corpus Christi,26339.550033969877
85,602,Chicago,37633.53245091632
86,603,Joplin-Pittsburg,25159.142300124357
87,604,Columbia-Jefferson City,28969.3200880666
88,605,Topeka,29576.846323804417
89,606,Dothan,26300.116224182
90,609,St. Louis,33219.575341688455
91,610,Rockford,30299.97353238693
92,611,Rochestr-Mason City-Austin,36109.01366327615
93,612,Shreveport,26990.888427403315
94,613,Minneapolis-St. Paul,39235.374008941886
95,616,Kansas City,35280.550137581515
96,617,Milwaukee,35374.22749129518
97,618,Houston,34633.73316809981
98,619,"Springfield, Mo",27033.37562207098
