Market,DMA Name,universe
500,Portland-Auburn,1008275.0
501,New York,21240907.0
502,Binghamton,332676.0
503,Macon,671178.0
504,Philadelphia,8134792.0
505,Detroit,8670610.0
506,Boston (Manchester),6627031.0
507,Savannah,5681331.0
508,Pittsburgh,2797681.0
509,Ft. Wayne,2086731.0
510,Cleveland-Akron (Canton),3811998.0
511,"Washington, Dc (Hagrstwn)",8819112.0
512,Baltimore,4399795.0
513,Flint-Saginaw-Bay City,1134339.0
514,Buffalo,8005500.0
515,Cincinnati,2396322.0
516,Erie,396586.0
517,Charlotte,3313604.0
518,Greensboro-H.Point-W.Salem,1823599.0
519,"Charleston, Sc",921539.0
520,Augusta-Aiken,7058016.0
521,Providence-New Bedford,1621099.0
522,"Columbus, Ga (Opelika, Al)",591182.0
523,Burlington-Plattsburgh,890185.0
524,Atlanta,10164796.0
525,"Albany, Ga",409495.0
526,Utica,158612.0
527,Indianapolis,3056201.0
528,Miami-Ft. Lauderdale,4722938.0
529,Louisville,1771333.0
530,Tallahassee-Thomasville,755198.0
531,"Tri-Cities, Tn-Va",767333.0
532,Albany-Schenectady-Troy,1382384.0
533,Hartford & New Haven,2626243.0
534,Orlando-Daytona Bch-Melbrn,4303370.0
535,"Columbus, Oh",2590889.0
536,Youngstown,640629.0
537,Bangor,345066.0
538,"Rochester, Ny",11049719.0
539,Tampa-St. Pete (Sarasota),4959815.0
540,Traverse City-Cadillac,4322032.0
541,Lexington,1307826.0
542,Dayton,1206540.0
543,Springfield-Holyoke,698537.0
544,Norfolk-Portsmth-Newpt Nws,3531408.0
545,Greenville-N.Bern-Washngtn,818097.0
546,"Columbia, Sc",1115891.0
547,Toledo,1055610.0
548,West Palm Beach-Ft. Pierce,2815218.0
549,Watertown,1802569.0
550,Wilmington,519510.0
551,Lansing,683491.0
552,Presque Isle,67431.0
553,Marquette,212321.0
554,Wheeling-Steubenville,324818.0
555,Syracuse,911319.0
556,Richmond-Petersburg,3305034.0
557,Knoxville,2186994.0
558,Lima,182353.0
559,Bluefield-Beckley-Oak Hill,2107373.0
560,Raleigh-Durham (Fayetvlle),3263519.0
561,Jacksonville,3424208.0
563,Grand Rapids-Kalmzoo-B.Crk,2952080.0
564,Charleston-Huntington,1107850.0
565,Elmira (Corning),238562.0
566,Harrisburg-Lncstr-Leb-York,2034196.0
567,Greenvll-Spart-Ashevll-And,12675779.0
569,Harrisonburg,163860.0
570,Myrtle Beach-Florence,803661.0
571,Ft. Myers-Naples,6572873.0
573,Roanoke-Lynchburg,842148.0
574,Johnstown-Altoona-St Colge,741138.0
575,Chattanooga,4182448.0
576,Salisbury,443131.0
577,Wilkes Barre-Scranton-Hztn,6010800.0
581,Terre Haute,374522.0
582,"Lafayette, In",201997.0
583,Alpena,38827.0
584,Charlottesville,205135.0
588,South Bend-Elkhart,3103648.0
592,Gainesville,344069.0
596,Zanesville,86033.0
597,Parkersburg,152061.0
598,Clarksburg-Weston,267899.0
600,Corpus Christi,600532.0
602,Chicago,12668009.0
603,Joplin-Pittsburg,635270.0
604,Columbia-Jefferson City,481908.0
605,Topeka,462557.0
606,Dothan,260574.0
609,St. Louis,5322246.0
610,Rockford,466608.0
611,Rochestr-Mason City-Austin,375459.0
612,Shreveport,1500709.0
613,Minneapolis-St. Paul,9212376.0
616,Kansas City,2557393.0
617,Milwaukee,2332331.0
618,Houston,7345160.0
619,"Springfield, Mo",1626824.0
622,New Orleans,1795282.0
623,Dallas-Ft. Worth,8133670.0
624,Sioux City,3543934.0
625,Waco-Temple-Bryan,14725592.0
626,Victoria,92044.0
627,Wichita Falls & Lawton,420692.0
628,Monroe-El Dorado,466173.0
630,Birmingham (Ann And Tusc),3986203.0
631,Ottumwa-Kirksville,125417.0
632,Paducah-Cape Girard-Harsbg,2078512.0
633,Odessa-Midland,493889.0
634,Amarillo,544505.0
635,Austin,2327874.0
636,Harlingen-Wslco-Brnsvl-Mca,1368723.0
637,Cedar Rapids-Wtrlo-Iwc&Dub,908416.0
638,St. Joseph,160578.0
639,"Jackson, Tn",245753.0
640,Memphis,7187362.0
641,San Antonio,8729083.0
642,"Lafayette, La",606497.0
643,Lake Charles,272780.0
644,"Alexandria, La",242495.0
647,Greenwood-Greenville,175788.0
648,Champaign&Sprngfld-Decatur,949255.0
649,Evansville,1801958.0
650,Oklahoma City,3352076.0
651,Lubbock,471210.0
652,Omaha,1150846.0
656,Panama City,392802.0
657,Sherman-Ada,350635.0
658,Green Bay-Appleton,4792855.0
659,Nashville,4821036.0
661,San Angelo,2395071.0
662,Abilene-Sweetwater,313362.0
669,Madison,1014539.0
670,Ft. Smith-Fay-Sprngdl-Rgrs,884723.0
671,Tulsa,2106765.0
673,Columbus-Tupelo-West Point,491566.0
675,Peoria-Bloomington,1766218.0
676,Duluth-Superior,1134792.0
678,Wichita-Hutchinson Plus,4085039.0
679,Des Moines-Ames,1180898.0
682,Davenport-R.Island-Moline,757358.0
686,Mobile-Pensacola (Ft Walt),1483893.0
687,Bismarck-Mnt-Dcknsn(Wlstn),1534279.0
691,Huntsville-Decatur (Flor),3377399.0
692,Beaumont-Port Arthur,465142.0
693,Little Rock-Pine Bluff,1474389.0
698,Montgomery-Selma,623512.0
702,La Crosse-Eau Claire,560868.0
705,Wausau-Rhinelander,446338.0
709,Tyler-Longview(Lfkn&Ncgd),764162.0
710,Hattiesburg-Laurel,298536.0
711,Meridian,176813.0
716,Baton Rouge,423645.0
717,Quincy-Hannibal-Keokuk,6304366.0
718,"Jackson, Ms",2198330.0
722,Lincoln & Hastings-Krny,741889.0
724,Fargo,995867.0
725,Sioux Falls(Mitchell),1554281.0
734,Jonesboro,220650.0
736,Bowling Green,228708.0
737,Mankato,312217.0
740,North Platte,1960350.0
743,Anchorage,564246.0
744,Honolulu,1419638.0
745,Fairbanks,105366.0
746,Biloxi-Gulfport,367323.0
747,Juneau,33399.0
749,Laredo,289090.0
751,Denver,4571290.0
752,Colorado Springs-Pueblo,1011377.0
753,Phoenix (Prescott),5678907.0
754,Butte-Bozeman,192345.0
755,Great Falls,168029.0
756,Billings,289034.0
757,Boise,838345.0
758,Idaho Fals-Pocatllo(Jcksn),397437.0
759,Cheyenne-Scottsbluff,153168.0
760,Twin Falls,198287.0
762,Missoula,314329.0
764,Rapid City,269199.0
765,El Paso (Las Cruces),1684377.0
766,Helena,320189.0
767,Casper-Riverton,146103.0
770,Salt Lake City,3332635.0
771,Yuma-El Centro,392511.0
773,Grand Junction-Montrose,195242.0
789,Tucson (Sierra Vista),1211512.0
790,Albuquerque-Santa Fe,2146636.0
798,Glendive,9986.0
801,Eugene,644107.0
802,Eureka,163793.0
803,Los Angeles,24911947.0
807,San Francisco-Oak-San Jose,7420358.0
810,Yakima-Pasco-Rchlnd-Knnwck,741671.0
811,Reno,731902.0
813,Medford-Klamath Falls,447785.0
819,Seattle-Tacoma,5403387.0
820,"Portland, Or",3438408.0
821,"Bend, Or",191749.0
825,San Diego,3323970.0
828,Monterey-Salinas,767694.0
839,Las Vegas,2279557.0
855,Santabarbra-Sanmar-Sanluob,11939238.0
862,Sacramnto-Stkton-Modesto,3901858.0
866,Fresno-Visalia,2052154.0
868,Chico-Redding,516241.0
881,Spokane,1204500.0
