,DMA Code,DMA Name,universe,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all
0,500,Portland-Auburn,1008275.0,931513.0,15636.0,2970.0,12875.0,131.0,1671.0,25201.0,18278.0,13006.0,29842.0
1,501,New York,21240907.0,10049833.0,3185963.0,29282.0,2264771.0,5729.0,146166.0,460990.0,5098173.0,2270500.0,636438.0
2,502,Binghamton,332676.0,290555.0,10987.0,499.0,9466.0,135.0,301.0,8387.0,12346.0,9601.0,9187.0
3,503,Macon,671178.0,347207.0,268987.0,1296.0,10849.0,488.0,1711.0,12039.0,28601.0,11337.0,15046.0
4,504,Philadelphia,8134792.0,4971573.0,1457975.0,10816.0,461630.0,2095.0,29595.0,205867.0,995241.0,463725.0,246278.0
5,505,Detroit,8670610.0,6229970.0,1350028.0,29403.0,387703.0,2742.0,26606.0,249456.0,394702.0,390445.0,305465.0
6,506,Boston (Manchester),6627031.0,4832066.0,417058.0,8953.0,459699.0,2081.0,44242.0,171971.0,690961.0,461780.0,225166.0
7,507,Savannah,5681331.0,2809766.0,1860329.0,10262.0,284007.0,3605.0,22090.0,140581.0,550691.0,287612.0,172933.0
8,508,Pittsburgh,2797681.0,2406533.0,202744.0,1963.0,62199.0,614.0,7951.0,65595.0,50082.0,62813.0,75509.0
9,509,Ft. Wayne,2086731.0,1734242.0,124650.0,3042.0,61828.0,624.0,4152.0,52427.0,105766.0,62452.0,59621.0
10,510,Cleveland-Akron (Canton),3811998.0,2915018.0,531353.0,5096.0,77151.0,610.0,11378.0,103783.0,167609.0,77761.0,120257.0
11,511,"Washington, Dc (Hagrstwn)",8819112.0,4699074.0,1915180.0,16941.0,737595.0,3942.0,36996.0,308236.0,1101148.0,741537.0,362173.0
12,512,Baltimore,4399795.0,2630764.0,1120759.0,8114.0,224974.0,1421.0,14043.0,136237.0,263483.0,226395.0,158394.0
13,513,Flint-Saginaw-Bay City,1134339.0,910304.0,122554.0,5240.0,10978.0,173.0,2641.0,31185.0,51264.0,11151.0,39066.0
