,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
0,500,Portland-Auburn,982764.0,750581.0,232183.0
1,501,New York,20796076.0,11764407.0,9031669.0
2,502,Binghamton,319191.0,232507.0,86684.0
3,503,Macon,634373.0,414423.0,219950.0
4,504,Philadelphia,7900503.0,5575586.0,2324917.0
5,505,Detroit,8534324.0,6359527.0,2174797.0
6,506,Boston (Manchester),6408568.0,4363862.0,2044706.0
7,507,Savannah,5520583.0,3558723.0,1961860.0
8,508,Pittsburgh,2709589.0,2007794.0,701795.0
9,509,Ft. Wayne,2048224.0,1563592.0,484632.0
10,510,Cleveland-Akron (Canton),3721144.0,2604785.0,1116359.0
11,511,"Washington, Dc (Hagrstwn)",8637107.0,6075348.0,2561759.0
12,512,Baltimore,4289217.0,3037386.0,1251831.0
13,513,Flint-Saginaw-Bay City,1104012.0,830464.0,273548.0
14,514,Buffalo,7746448.0,5368730.0,2377718.0
15,515,Cincinnati,2344148.0,1662018.0,682130.0
16,516,Erie,379324.0,275534.0,103790.0
17,517,Charlotte,3253475.0,2239906.0,1013569.0
18,518,Greensboro-H.Point-W.Salem,1776364.0,1211745.0,564619.0
19,519,"Charleston, Sc",901957.0,627804.0,274153.0
20,520,Augusta-Aiken,6873747.0,4790241.0,2083506.0
21,521,Providence-New Bedford,1564511.0,1034885.0,529626.0
22,522,"Columbus, Ga (Opelika, Al)",565530.0,344746.0,220784.0
23,523,Burlington-Plattsburgh,842740.0,625889.0,216851.0
24,524,Atlanta,9957839.0,6695479.0,3262360.0
25,525,"Albany, Ga",391141.0,231844.0,159297.0
26,526,Utica,149230.0,114294.0,34936.0
27,527,Indianapolis,2973267.0,2076607.0,896660.0
28,528,Miami-Ft. Lauderdale,4658596.0,2708604.0,1949992.0
29,529,Louisville,1732357.0,1224077.0,508280.0
30,530,Tallahassee-Thomasville,711833.0,443748.0,268085.0
31,531,"Tri-Cities, Tn-Va",742400.0,546088.0,196312.0
32,532,Albany-Schenectady-Troy,1328999.0,939865.0,389134.0
33,533,Hartford & New Haven,2532163.0,1765307.0,766856.0
34,534,Orlando-Daytona Bch-Melbrn,4226809.0,2847805.0,1379004.0
35,535,"Columbus, Oh",2509581.0,1658478.0,851103.0
36,536,Youngstown,618857.0,450601.0,168256.0
37,537,Bangor,334053.0,257833.0,76220.0
38,538,"Rochester, Ny",10748512.0,5387863.0,5360649.0
39,539,Tampa-St. Pete (Sarasota),4880533.0,3332805.0,1547728.0
40,540,Traverse City-Cadillac,4209939.0,3012028.0,1197911.0
41,541,Lexington,1263119.0,851724.0,411395.0
42,542,Dayton,1171729.0,801896.0,369833.0
43,543,Springfield-Holyoke,659131.0,440286.0,218845.0
44,544,Norfolk-Portsmth-Newpt Nws,3407699.0,2227768.0,1179931.0
45,545,Greenville-N.Bern-Washngtn,775265.0,479734.0,295531.0
46,546,"Columbia, Sc",1071302.0,744922.0,326380.0
47,547,Toledo,1024066.0,721998.0,302068.0
48,548,West Palm Beach-Ft. Pierce,2749875.0,2018346.0,731529.0
49,549,Watertown,1714438.0,1215939.0,498499.0
50,550,Wilmington,506537.0,358823.0,147714.0
51,551,Lansing,651752.0,466362.0,185390.0
52,552,Presque Isle,65074.0,50904.0,14170.0
53,553,Marquette,202049.0,159826.0,42223.0
54,554,Wheeling-Steubenville,311361.0,239241.0,72120.0
55,555,Syracuse,857510.0,601268.0,256242.0
56,556,Richmond-Petersburg,3206340.0,2283222.0,923118.0
57,557,Knoxville,2129997.0,1488213.0,641784.0
58,558,Lima,177513.0,130684.0,46829.0
59,559,Bluefield-Beckley-Oak Hill,2051148.0,1543206.0,507942.0
60,560,Raleigh-Durham (Fayetvlle),3169648.0,2085159.0,1084489.0
61,561,Jacksonville,3325582.0,2328680.0,996902.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2869196.0,2195521.0,673675.0
63,564,Charleston-Huntington,1083187.0,808272.0,274915.0
64,565,Elmira (Corning),231403.0,171066.0,60337.0
65,566,Harrisburg-Lncstr-Leb-York,1982206.0,1457970.0,524236.0
66,567,Greenvll-Spart-Ashevll-And,12340321.0,8396539.0,3943782.0
67,569,Harrisonburg,157888.0,122804.0,35084.0
68,570,Myrtle Beach-Florence,785603.0,537653.0,247950.0
69,571,Ft. Myers-Naples,6458177.0,4027273.0,2430904.0
70,573,Roanoke-Lynchburg,818171.0,619770.0,198401.0
71,574,Johnstown-Altoona-St Colge,694618.0,525184.0,169434.0
72,575,Chattanooga,4084015.0,2822723.0,1261292.0
73,576,Salisbury,428476.0,310277.0,118199.0
74,577,Wilkes Barre-Scranton-Hztn,5788627.0,4369138.0,1419489.0
75,581,Terre Haute,353091.0,260528.0,92563.0
76,582,"Lafayette, In",184771.0,110507.0,74264.0
77,583,Alpena,38168.0,31621.0,6547.0
78,584,Charlottesville,195219.0,144137.0,51082.0
79,588,South Bend-Elkhart,3029102.0,2116836.0,912266.0
80,592,Gainesville,325398.0,203114.0,122284.0
81,596,Zanesville,84036.0,60663.0,23373.0
82,597,Parkersburg,148858.0,114168.0,34690.0
83,598,Clarksburg-Weston,258180.0,197309.0,60871.0
84,600,Corpus Christi,578054.0,367830.0,210224.0
85,602,Chicago,12389123.0,8694455.0,3694668.0
86,603,Joplin-Pittsburg,617891.0,426835.0,191056.0
87,604,Columbia-Jefferson City,455011.0,317777.0,137234.0
88,605,Topeka,443073.0,295303.0,147770.0
89,606,Dothan,256788.0,168635.0,88153.0
90,609,St. Louis,5184956.0,3696779.0,1488177.0
91,610,Rockford,457248.0,325372.0,131876.0
92,611,Rochestr-Mason City-Austin,368096.0,287980.0,80116.0
93,612,Shreveport,1459737.0,995523.0,464214.0
94,613,Minneapolis-St. Paul,9008320.0,6673151.0,2335169.0
95,616,Kansas City,2503467.0,1725064.0,778403.0
96,617,Milwaukee,2279480.0,1509740.0,769740.0
97,618,Houston,7236995.0,4709941.0,2527054.0
98,619,"Springfield, Mo",1572793.0,1115361.0,457432.0
99,622,New Orleans,1761636.0,1207006.0,554630.0
100,623,Dallas-Ft. Worth,8022233.0,5179510.0,2842723.0
101,624,Sioux City,3433984.0,2553464.0,880520.0
102,625,Waco-Temple-Bryan,14432086.0,9173469.0,5258617.0
103,626,Victoria,90758.0,61600.0,29158.0
104,627,Wichita Falls & Lawton,393727.0,252580.0,141147.0
105,628,Monroe-El Dorado,438617.0,289378.0,149239.0
106,630,Birmingham (Ann And Tusc),3894046.0,2812689.0,1081357.0
107,631,Ottumwa-Kirksville,120110.0,86520.0,33590.0
108,632,Paducah-Cape Girard-Harsbg,1999809.0,1401409.0,598400.0
109,633,Odessa-Midland,480652.0,339545.0,141107.0
110,634,Amarillo,524259.0,348403.0,175856.0
111,635,Austin,2282909.0,1461980.0,820929.0
112,636,Harlingen-Wslco-Brnsvl-Mca,1354690.0,943451.0,411239.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,877851.0,656071.0,221780.0
114,638,St. Joseph,151477.0,101653.0,49824.0
115,639,"Jackson, Tn",237567.0,163099.0,74468.0
116,640,Memphis,6985593.0,4668765.0,2316828.0
117,641,San Antonio,8540755.0,5961845.0,2578910.0
118,642,"Lafayette, La",596012.0,419728.0,176284.0
119,643,Lake Charles,264590.0,191486.0,73104.0
120,644,"Alexandria, La",228968.0,149162.0,79806.0
121,647,Greenwood-Greenville,166527.0,96735.0,69792.0
122,648,Champaign&Sprngfld-Decatur,907394.0,635590.0,271804.0
123,649,Evansville,1749407.0,1292752.0,456655.0
124,650,Oklahoma City,3254337.0,2154111.0,1100226.0
125,651,Lubbock,450486.0,283163.0,167323.0
