,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
0,500,Portland-Auburn,24829.0,23132.0,47961.0,26446.0,24873.0,51319.0,46142.0,43204.0,89346.0,101205.0,98979.0,200184.0,89490.0,91738.0,181228.0,111696.0,118784.0,230480.0,94302.0,113455.0,207757.0
1,501,New York,651443.0,623121.0,1274564.0,625237.0,598857.0,1224094.0,1058921.0,1013685.0,2072606.0,2456171.0,2457307.0,4913478.0,2032906.0,2114683.0,4147589.0,2031511.0,2202999.0,4234510.0,1435853.0,1938213.0,3374066.0
2,502,Binghamton,8610.0,8113.0,16723.0,9399.0,8192.0,17591.0,15325.0,14966.0,30291.0,38810.0,36390.0,75200.0,26713.0,26980.0,53693.0,35617.0,36402.0,72019.0,30465.0,36694.0,67159.0
3,503,Macon,19973.0,19117.0,39090.0,20636.0,19414.0,40050.0,36615.0,34781.0,71396.0,80853.0,75838.0,156691.0,62399.0,60983.0,123382.0,64126.0,68087.0,132213.0,47006.0,61350.0,108356.0
4,504,Philadelphia,239269.0,228328.0,467597.0,242597.0,237483.0,480080.0,419497.0,398289.0,817786.0,938706.0,930060.0,1868766.0,739378.0,771387.0,1510765.0,793902.0,861642.0,1655544.0,574065.0,760189.0,1334254.0
5,505,Detroit,251078.0,239155.0,490233.0,254304.0,245561.0,499865.0,451870.0,429533.0,881403.0,976675.0,945531.0,1922206.0,785746.0,813515.0,1599261.0,882100.0,933189.0,1815289.0,644240.0,818113.0,1462353.0
6,506,Boston (Manchester),175806.0,168405.0,344211.0,179012.0,169513.0,348525.0,314853.0,302892.0,617745.0,806279.0,798852.0,1605131.0,612330.0,631979.0,1244309.0,669607.0,711879.0,1381486.0,474354.0,611270.0,1085624.0
7,507,Savannah,181155.0,172301.0,353456.0,187907.0,184780.0,372687.0,317921.0,305436.0,623357.0,691300.0,680313.0,1371613.0,544874.0,581917.0,1126791.0,504163.0,549463.0,1053626.0,341040.0,438761.0,779801.0
8,508,Pittsburgh,72186.0,68846.0,141032.0,71726.0,70899.0,142625.0,125127.0,117454.0,242581.0,319913.0,302615.0,622528.0,247426.0,244277.0,491703.0,292925.0,308913.0,601838.0,241786.0,313588.0,555374.0
9,509,Ft. Wayne,67891.0,65251.0,133142.0,72031.0,70008.0,142039.0,123028.0,115551.0,238579.0,227494.0,225054.0,452548.0,196101.0,199992.0,396093.0,197846.0,205478.0,403324.0,141742.0,179264.0,321006.0
10,510,Cleveland-Akron (Canton),109517.0,104504.0,214021.0,112341.0,106769.0,219110.0,194221.0,187113.0,381334.0,411905.0,405438.0,817343.0,331844.0,342252.0,674096.0,387040.0,414969.0,802009.0,307121.0,396964.0,704085.0
11,511,"Washington, Dc (Hagrstwn)",278568.0,265983.0,544551.0,280305.0,268549.0,548854.0,464906.0,446776.0,911682.0,1009117.0,990519.0,1999636.0,894454.0,918016.0,1812470.0,848305.0,896018.0,1744323.0,557138.0,700458.0,1257596.0
12,512,Baltimore,131312.0,126074.0,257386.0,135346.0,130447.0,265793.0,222742.0,213621.0,436363.0,495583.0,499482.0,995065.0,398835.0,428402.0,827237.0,430966.0,473966.0,904932.0,307864.0,405155.0,713019.0
13,513,Flint-Saginaw-Bay City,31476.0,30210.0,61686.0,33486.0,32177.0,65663.0,57609.0,53540.0,111149.0,123237.0,120627.0,243864.0,97353.0,99168.0,196521.0,117142.0,124013.0,241155.0,95785.0,118516.0,214301.0
14,514,Buffalo,228294.0,217826.0,446120.0,224509.0,218619.0,443128.0,384798.0,365217.0,750015.0,947836.0,928969.0,1876805.0,705668.0,719282.0,1424950.0,794079.0,850732.0,1644811.0,612593.0,807078.0,1419671.0
15,515,Cincinnati,75887.0,72602.0,148489.0,79325.0,76835.0,156160.0,131724.0,125558.0,257282.0,271387.0,266026.0,537413.0,220202.0,226238.0,446440.0,233704.0,246359.0,480063.0,163970.0,206505.0,370475.0
16,516,Erie,11048.0,10828.0,21876.0,11275.0,11760.0,23035.0,20299.0,18109.0,38408.0,43852.0,42502.0,86354.0,33642.0,34167.0,67809.0,41336.0,42468.0,83804.0,34066.0,41234.0,75300.0
