,DMA Code,DMA Name,universe,afghan,albanian,alsatian,american,arab,egyptian,iraqi,jordanian,lebanese,moroccan,palestinian,syrian,all_arab,other_arab,armenian,assyrian_chaldean_syriac,australian,austrian,basque,belgian,brazilian,british,bulgarian,cajun,canadian,carpatho_rusyn,celtic,croatian,cypriot,czech,czechoslovakian,danish,dutch,eastern_european,english,estonian,european,finnish,french_except_basque,french_canadian,german,german_russian,greek,guyanese,hungarian,icelander,iranian,irish,israeli,italian,latvian,lithuanian,luxemburger,macedonian,maltese,new_zealander,northern_european,norwegian,pennsylvania_german,polish,portuguese,romanian,russian,scandinavian,scotch-irish,scottish,serbian,slavic,slovak,slovene,soviet_union,subsaharan_african,cape_verdean,ethiopian,ghanaian,kenyan,liberian,nigerian,senegalese,sierra_leonean,somali,south_african,sudanese,ugandan,zimbabwean,african,other_subsaharan_african,swedish,swiss,turkish,ukranian,welsh,west_indian_except_hispanic_groups,bahamian,barbadian,belizean,bermudan,british_west_indian,dutch_west_indian,haitian,jamaican,trinidadian_and_tobagonian,us_virgin_islander,west_indian,other_west_indian,yugoslavian,other_groups
0,500,Portland-Auburn,435795.0,531.0,139.0,0.0,48451.0,1558.0,62.0,631.0,4.0,523.0,97.0,2.0,130.0,89.0,20.0,218.0,0.0,289.0,376.0,0.0,187.0,207.0,4406.0,186.0,216.0,4608.0,2.0,237.0,85.0,0.0,823.0,268.0,921.0,1726.0,2066.0,64017.0,56.0,12114.0,1968.0,42867.0,52796.0,15939.0,0.0,1591.0,0.0,518.0,1.0,209.0,48199.0,29.0,16990.0,154.0,935.0,0.0,20.0,5.0,4.0,1820.0,2597.0,51.0,5449.0,1741.0,260.0,1521.0,1611.0,4870.0,12278.0,99.0,134.0,340.0,116.0,0.0,8489.0,69.0,489.0,40.0,48.0,99.0,72.0,0.0,0.0,2014.0,53.0,476.0,169.0,21.0,1413.0,3526.0,3821.0,590.0,151.0,703.0,1704.0,914.0,0.0,13.0,0.0,0.0,12.0,0.0,147.0,621.0,92.0,0.0,29.0,0.0,94.0,60530.0
1,501,New York,12991551.0,7332.0,55562.0,75.0,602752.0,171396.0,59259.0,2373.0,7845.0,14455.0,15846.0,8567.0,13454.0,17189.0,32408.0,17821.0,918.0,4562.0,15478.0,636.0,3977.0,52222.0,30310.0,5848.0,247.0,12480.0,305.0,689.0,13601.0,2817.0,9864.0,6002.0,6541.0,26534.0,117437.0,124256.0,1941.0,149688.0,3538.0,37446.0,13129.0,245058.0,247.0,95414.0,134774.0,68849.0,430.0,23521.0,539165.0,20807.0,1154943.0,4280.0,13218.0,160.0,11100.0,2878.0,737.0,9631.0,20069.0,1238.0,286368.0,74549.0,30609.0,184376.0,5089.0,17293.0,33912.0,7527.0,5141.0,16010.0,1363.0,724.0,265469.0,1368.0,6947.0,32930.0,4746.0,4212.0,53977.0,4234.0,1375.0,1078.0,3784.0,2755.0,772.0,729.0,119445.0,27117.0,15228.0,6232.0,31636.0,84137.0,5045.0,739080.0,892.0,22125.0,6404.0,472.0,46382.0,375.0,208874.0,303097.0,76094.0,2466.0,70674.0,1225.0,8595.0,7331245.0
2,502,Binghamton,138985.0,51.0,52.0,0.0,17529.0,890.0,35.0,9.0,53.0,236.0,10.0,6.0,35.0,203.0,303.0,170.0,0.0,6.0,178.0,16.0,43.0,26.0,767.0,9.0,19.0,259.0,15.0,5.0,119.0,0.0,459.0,392.0,165.0,1643.0,1080.0,14369.0,25.0,2993.0,240.0,1260.0,651.0,13189.0,6.0,579.0,235.0,355.0,0.0,168.0,16119.0,80.0,13448.0,33.0,612.0,0.0,0.0,3.0,9.0,206.0,743.0,418.0,5714.0,147.0,119.0,1625.0,308.0,873.0,1833.0,41.0,142.0,1919.0,38.0,0.0,481.0,3.0,0.0,140.0,19.0,13.0,40.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,202.0,43.0,579.0,163.0,164.0,1293.0,684.0,1698.0,0.0,10.0,0.0,0.0,45.0,4.0,1019.0,394.0,97.0,25.0,104.0,0.0,425.0,31105.0
3,503,Macon,418918.0,0.0,6.0,0.0,76318.0,319.0,22.0,0.0,91.0,108.0,31.0,23.0,8.0,36.0,0.0,3.0,0.0,0.0,55.0,0.0,29.0,13.0,2371.0,100.0,68.0,256.0,0.0,67.0,14.0,0.0,181.0,51.0,65.0,575.0,291.0,20711.0,0.0,6366.0,40.0,1688.0,289.0,9123.0,0.0,366.0,98.0,123.0,56.0,148.0,13542.0,8.0,2557.0,16.0,8.0,0.0,0.0,0.0,0.0,242.0,571.0,63.0,1409.0,114.0,57.0,108.0,137.0,2936.0,3000.0,0.0,49.0,13.0,0.0,0.0,4980.0,0.0,534.0,37.0,13.0,7.0,493.0,13.0,0.0,0.0,52.0,0.0,0.0,9.0,3548.0,274.0,448.0,70.0,32.0,23.0,467.0,2566.0,64.0,24.0,0.0,0.0,129.0,0.0,622.0,1366.0,74.0,168.0,119.0,0.0,0.0,265712.0
4,504,Philadelphia,4157194.0,1891.0,7947.0,110.0,212468.0,32862.0,7412.0,877.0,765.0,4091.0,4020.0,1521.0,5737.0,3577.0,4862.0,4180.0,58.0,597.0,5561.0,69.0,835.0,9012.0,14633.0,1775.0,85.0,4137.0,103.0,563.0,1755.0,68.0,3131.0,2228.0,1910.0,14289.0,25046.0,118542.0,392.0,59558.0,891.0,13806.0,5890.0,315332.0,90.0,17692.0,2852.0,14078.0,212.0,3730.0,329462.0,2019.0,344689.0,985.0,7267.0,73.0,177.0,383.0,65.0,3478.0,7116.0,38493.0,104668.0,6890.0,5842.0,40063.0,2741.0,14698.0,21170.0,1174.0,1345.0,10647.0,763.0,83.0,97904.0,132.0,3450.0,4874.0,3154.0,11187.0,12777.0,254.0,2490.0,141.0,797.0,1075.0,104.0,151.0,50465.0,6853.0,7620.0,3768.0,9436.0,31575.0,8355.0,72800.0,842.0,1789.0,321.0,151.0,1404.0,39.0,27479.0,29216.0,5099.0,207.0,6195.0,58.0,1749.0,2081318.0
5,505,Detroit,4427687.0,461.0,35332.0,113.0,328065.0,177037.0,5595.0,40090.0,6215.0,44597.0,2160.0,4090.0,5754.0,33266.0,35270.0,7804.0,65115.0,914.0,4299.0,62.0,13376.0,3424.0,16910.0,2541.0,205.0,15244.0,209.0,674.0,4927.0,530.0,6782.0,3292.0,5126.0,101912.0,18685.0,179533.0,208.0,108057.0,17223.0,40090.0,39859.0,387895.0,340.0,22092.0,330.0,19427.0,181.0,4261.0,179387.0,1227.0,172382.0,1113.0,7941.0,130.0,12779.0,5363.0,263.0,7498.0,13148.0,2547.0,275135.0,1880.0,19594.0,22200.0,5552.0,17987.0,47265.0,4233.0,1572.0,5842.0,1541.0,288.0,50235.0,0.0,1511.0,1167.0,880.0,625.0,7188.0,295.0,55.0,304.0,629.0,520.0,316.0,150.0,34224.0,2371.0,17806.0,2790.0,1459.0,19103.0,5998.0,9270.0,442.0,85.0,130.0,24.0,201.0,165.0,1559.0,5443.0,566.0,29.0,626.0,0.0,11110.0,1870514.0
6,506,Boston (Manchester),3291255.0,586.0,13357.0,51.0,191089.0,39477.0,4237.0,2175.0,559.0,11547.0,6029.0,1472.0,2347.0,3358.0,7753.0,14401.0,188.0,794.0,2543.0,85.0,1347.0,63159.0,19007.0,3584.0,200.0,20312.0,17.0,995.0,1228.0,162.0,2479.0,669.0,2638.0,7787.0,21575.0,156861.0,344.0,67055.0,6773.0,84197.0,115561.0,67959.0,17.0,37013.0,717.0,4494.0,256.0,6557.0,449056.0,2018.0,265850.0,1401.0,11128.0,40.0,190.0,143.0,242.0,7698.0,8410.0,331.0,58143.0,54768.0,4226.0,33940.0,4309.0,16880.0,33941.0,2356.0,552.0,1790.0,311.0,61.0,109566.0,42079.0,4785.0,7135.0,4284.0,2518.0,9788.0,39.0,594.0,2218.0,661.0,1676.0,3917.0,222.0,23982.0,5668.0,19402.0,2176.0,4694.0,9445.0,3640.0,101761.0,178.0,3392.0,130.0,110.0,2332.0,100.0,67814.0,20201.0,4158.0,209.0,3052.0,85.0,2468.0,1124785.0
7,507,Savannah,3545641.0,1412.0,263.0,25.0,417614.0,12973.0,1964.0,2109.0,391.0,2537.0,799.0,749.0,916.0,1092.0,2416.0,810.0,89.0,377.0,2211.0,100.0,711.0,4397.0,17422.0,1591.0,951.0,3725.0,0.0,257.0,708.0,85.0,1601.0,956.0,2265.0,7468.0,6502.0,174644.0,28.0,65499.0,956.0,16089.0,6358.0,112082.0,126.0,5258.0,3651.0,3359.0,348.0,4799.0,134312.0,1550.0,44767.0,220.0,1815.0,39.0,115.0,124.0,60.0,3947.0,7492.0,364.0,18201.0,2580.0,7315.0,10843.0,3527.0,30125.0,35838.0,325.0,390.0,1201.0,537.0,0.0,80098.0,565.0,7438.0,4051.0,1286.0,1715.0,11530.0,205.0,98.0,366.0,1047.0,463.0,173.0,304.0,46256.0,4601.0,5519.0,1569.0,1851.0,2955.0,5682.0,47080.0,885.0,795.0,444.0,150.0,1377.0,84.0,9377.0,26097.0,4034.0,657.0,3160.0,20.0,3350.0,2214140.0
8,508,Pittsburgh,1107294.0,153.0,223.0,6.0,97923.0,8715.0,616.0,318.0,413.0,1731.0,281.0,459.0,1269.0,1144.0,2484.0,333.0,0.0,187.0,1498.0,62.0,845.0,806.0,3997.0,564.0,82.0,1043.0,481.0,118.0,8580.0,13.0,3677.0,3011.0,729.0,3364.0,8628.0,52948.0,7.0,25243.0,405.0,5344.0,1569.0,183228.0,41.0,5266.0,177.0,10638.0,17.0,974.0,93651.0,523.0,138241.0,163.0,2376.0,35.0,205.0,0.0,23.0,1381.0,1914.0,5625.0,58891.0,433.0,1103.0,7823.0,796.0,17942.0,12208.0,3407.0,2092.0,28587.0,2413.0,15.0,16081.0,14.0,223.0,280.0,238.0,266.0,1478.0,34.0,15.0,297.0,210.0,106.0,50.0,0.0,11601.0,1269.0,3633.0,1849.0,1293.0,7221.0,3806.0,3757.0,148.0,97.0,11.0,0.0,154.0,6.0,589.0,2214.0,131.0,67.0,340.0,0.0,1094.0,257818.0
9,509,Ft. Wayne,1009757.0,188.0,145.0,28.0,160018.0,4990.0,1260.0,147.0,776.0,328.0,101.0,68.0,296.0,488.0,1526.0,100.0,14.0,211.0,459.0,0.0,852.0,337.0,5299.0,345.0,41.0,1733.0,0.0,94.0,810.0,0.0,1221.0,489.0,639.0,8484.0,2355.0,74055.0,54.0,39180.0,827.0,9072.0,1721.0,235694.0,33.0,2123.0,20.0,1844.0,7.0,505.0,55468.0,86.0,16908.0,229.0,484.0,90.0,959.0,185.0,0.0,1383.0,3492.0,1989.0,11334.0,593.0,764.0,1919.0,1139.0,6453.0,11840.0,507.0,334.0,826.0,458.0,0.0,9431.0,0.0,1222.0,118.0,593.0,111.0,1500.0,0.0,114.0,304.0,103.0,281.0,0.0,0.0,4511.0,574.0,3102.0,6431.0,293.0,1564.0,2918.0,1109.0,50.0,80.0,0.0,0.0,73.0,0.0,360.0,213.0,172.0,0.0,141.0,20.0,1745.0,311737.0
