,DMA Code,DMA Name,universe,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,male_bachelors_or_higher,female_bachelors_or_higher,total_bachelors_or_higher
0,500,Portland-Auburn,741085.0,71717.0,27787.0,9515.0,5312.0,88199.0,43634.0,7153.0,5075.0,114331.0,144061.0,258392.0
1,501,New York,14833412.0,1668128.0,784950.0,273628.0,133177.0,1859934.0,1083696.0,217760.0,110867.0,2859883.0,3272257.0,6132140.0
2,502,Binghamton,229241.0,16914.0,8744.0,1966.0,1501.0,16011.0,11661.0,1394.0,1346.0,29125.0,30412.0,59537.0
3,503,Macon,452403.0,25584.0,11986.0,3671.0,2239.0,30264.0,18927.0,4182.0,1946.0,43480.0,55319.0,98799.0
4,504,Philadelphia,5629170.0,581462.0,245411.0,82328.0,59505.0,646016.0,345045.0,62095.0,44894.0,968706.0,1098050.0,2066756.0
5,505,Detroit,6012510.0,573611.0,275177.0,77444.0,45446.0,629369.0,328630.0,56115.0,32297.0,971678.0,1046411.0,2018089.0
6,506,Boston (Manchester),4667384.0,572398.0,291839.0,75901.0,78619.0,621076.0,381720.0,69988.0,56903.0,1018757.0,1129687.0,2148444.0
7,507,Savannah,3766811.0,360564.0,149698.0,46154.0,26359.0,411420.0,201000.0,42200.0,26680.0,582775.0,681300.0,1264075.0
8,508,Pittsburgh,2019641.0,207110.0,83340.0,25240.0,19889.0,210616.0,110766.0,18773.0,15638.0,335579.0,355793.0,691372.0
9,509,Ft. Wayne,1382727.0,133062.0,49155.0,13807.0,8532.0,145384.0,64610.0,8856.0,5955.0,204556.0,224805.0,429361.0
10,510,Cleveland-Akron (Canton),2661081.0,223475.0,86291.0,29637.0,16776.0,249094.0,125279.0,22266.0,12124.0,356179.0,408763.0,764942.0
11,511,"Washington, Dc (Hagrstwn)",6055028.0,680778.0,432912.0,117448.0,93410.0,761278.0,509149.0,101734.0,70668.0,1324548.0,1442829.0,2767377.0
12,512,Baltimore,3055775.0,316498.0,157855.0,47913.0,34957.0,353426.0,224495.0,39268.0,28097.0,557223.0,645286.0,1202509.0
13,513,Flint-Saginaw-Bay City,787712.0,48487.0,17312.0,6596.0,3999.0,57660.0,27111.0,3614.0,2356.0,76394.0,90741.0,167135.0
14,514,Buffalo,5630756.0,530326.0,217642.0,72634.0,53704.0,558589.0,320943.0,54109.0,41255.0,874306.0,974896.0,1849202.0
15,515,Cincinnati,1614063.0,162714.0,63165.0,18700.0,12870.0,169944.0,85693.0,12784.0,9868.0,257449.0,278289.0,535738.0
16,516,Erie,276129.0,21525.0,7458.0,2176.0,1536.0,24251.0,12231.0,1428.0,1038.0,32695.0,38948.0,71643.0
