,DMA Code,DMA Name,universe,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force
0,500,Portland-Auburn,825696.0,533758.0,532388.0,506898.0,25490.0,1370.0,291938.0
1,501,New York,17342625.0,11230353.0,11219704.0,10445513.0,774191.0,10649.0,6112272.0
2,502,Binghamton,281467.0,163478.0,163375.0,151961.0,11414.0,103.0,117989.0
3,503,Macon,533480.0,288031.0,285267.0,260012.0,25255.0,2764.0,245449.0
4,504,Philadelphia,6527683.0,4221193.0,4211123.0,3895563.0,315560.0,10070.0,2306490.0
5,505,Detroit,6938138.0,4349062.0,4345767.0,4040139.0,305628.0,3295.0,2589076.0
6,506,Boston (Manchester),5357709.0,3661658.0,3655784.0,3454441.0,201343.0,5874.0,1696051.0
7,507,Savannah,4293094.0,2718792.0,2684783.0,2477203.0,207580.0,34009.0,1574302.0
8,508,Pittsburgh,2351018.0,1450725.0,1449752.0,1364345.0,85407.0,973.0,900293.0
9,509,Ft. Wayne,1586231.0,1055284.0,1054316.0,998758.0,55558.0,968.0,530947.0
10,510,Cleveland-Akron (Canton),3092208.0,1954105.0,1953121.0,1818288.0,134833.0,984.0,1138103.0
11,511,"Washington, Dc (Hagrstwn)",6864367.0,4773668.0,4713592.0,4451946.0,261646.0,60076.0,2090699.0
12,512,Baltimore,3526607.0,2353981.0,2334631.0,2196805.0,137826.0,19350.0,1172626.0
13,513,Flint-Saginaw-Bay City,929903.0,528680.0,528393.0,481714.0,46679.0,287.0,401223.0
14,514,Buffalo,6551418.0,4062507.0,4059401.0,3774505.0,284896.0,3106.0,2488911.0
15,515,Cincinnati,1860428.0,1211978.0,1210812.0,1139993.0,70819.0,1166.0,648450.0
16,516,Erie,327931.0,195939.0,195823.0,183459.0,12364.0,116.0,131992.0
17,517,Charlotte,2503924.0,1625463.0,1623445.0,1503748.0,119697.0,2018.0,878461.0
18,518,Greensboro-H.Point-W.Salem,1434073.0,870191.0,869022.0,810525.0,58497.0,1169.0,563882.0
19,519,"Charleston, Sc",703498.0,446228.0,438024.0,410597.0,27427.0,8204.0,257270.0
20,520,Augusta-Aiken,5436716.0,3270774.0,3209247.0,2968605.0,240642.0,61527.0,2165942.0
21,521,Providence-New Bedford,1325646.0,867526.0,864005.0,804609.0,59396.0,3521.0,458120.0
22,522,"Columbus, Ga (Opelika, Al)",468598.0,277711.0,263492.0,240732.0,22760.0,14219.0,190887.0
23,523,Burlington-Plattsburgh,745132.0,473413.0,472932.0,450747.0,22185.0,481.0,271719.0
24,524,Atlanta,7658612.0,4941173.0,4933855.0,4592518.0,341337.0,7318.0,2717439.0
25,525,"Albany, Ga",322865.0,178459.0,178021.0,160639.0,17382.0,438.0,144406.0
26,526,Utica,136054.0,80687.0,80599.0,74739.0,5860.0,88.0,55367.0
27,527,Indianapolis,2362820.0,1533665.0,1532111.0,1437807.0,94304.0,1554.0,829155.0
28,528,Miami-Ft. Lauderdale,3811713.0,2426405.0,2422739.0,2243172.0,179567.0,3666.0,1385308.0
29,529,Louisville,1393128.0,888524.0,883262.0,828663.0,54599.0,5262.0,504604.0
30,530,Tallahassee-Thomasville,606795.0,351867.0,348473.0,317924.0,30549.0,3394.0,254928.0
31,531,"Tri-Cities, Tn-Va",638484.0,332038.0,331750.0,308367.0,23383.0,288.0,306446.0
32,532,Albany-Schenectady-Troy,1150124.0,729537.0,727304.0,684894.0,42410.0,2233.0,420587.0
33,533,Hartford & New Haven,2173398.0,1440579.0,1432231.0,1330628.0,101603.0,8348.0,732819.0
34,534,Orlando-Daytona Bch-Melbrn,3315300.0,1913344.0,1910461.0,1776279.0,134182.0,2883.0,1401956.0
35,535,"Columbus, Oh",1989332.0,1298964.0,1297660.0,1224302.0,73358.0,1304.0,690368.0
36,536,Youngstown,535656.0,309270.0,309063.0,287440.0,21623.0,207.0,226386.0
37,537,Bangor,289537.0,171850.0,171341.0,159614.0,11727.0,509.0,117687.0
38,538,"Rochester, Ny",9179740.0,5850047.0,5846750.0,5445992.0,400758.0,3297.0,3329693.0
39,539,Tampa-St. Pete (Sarasota),3845933.0,2172361.0,2164944.0,2013845.0,151099.0,7417.0,1673572.0
40,540,Traverse City-Cadillac,3483135.0,2029318.0,2027611.0,1839847.0,187764.0,1707.0,1453817.0
41,541,Lexington,1033806.0,599873.0,599058.0,555147.0,43911.0,815.0,433933.0
42,542,Dayton,963434.0,602882.0,598248.0,557345.0,40903.0,4634.0,360552.0
43,543,Springfield-Holyoke,577821.0,363925.0,363367.0,336625.0,26742.0,558.0,213896.0
44,544,Norfolk-Portsmth-Newpt Nws,2810796.0,1824565.0,1738833.0,1632963.0,105870.0,85732.0,986231.0
45,545,Greenville-N.Bern-Washngtn,653187.0,405294.0,358890.0,323840.0,35050.0,46404.0,247893.0
46,546,"Columbia, Sc",877119.0,546263.0,531775.0,490370.0,41405.0,14488.0,330856.0
47,547,Toledo,849737.0,538910.0,538239.0,502777.0,35462.0,671.0,310827.0
48,548,West Palm Beach-Ft. Pierce,2221505.0,1140351.0,1129808.0,1048826.0,80982.0,10543.0,1081154.0
49,549,Watertown,1475337.0,917775.0,890601.0,837042.0,53559.0,27174.0,557562.0
50,550,Wilmington,406167.0,233042.0,231972.0,214878.0,17094.0,1070.0,173125.0
51,551,Lansing,550721.0,338529.0,338216.0,314301.0,23915.0,313.0,212192.0
52,552,Presque Isle,57675.0,31956.0,31909.0,30233.0,1676.0,47.0,25719.0
53,553,Marquette,180113.0,96154.0,95951.0,89520.0,6431.0,203.0,83959.0
54,554,Wheeling-Steubenville,275711.0,147873.0,147754.0,138341.0,9413.0,119.0,127838.0
55,555,Syracuse,758850.0,466718.0,466144.0,437383.0,28761.0,574.0,292132.0
56,556,Richmond-Petersburg,2587326.0,1689894.0,1677884.0,1589327.0,88557.0,12010.0,897432.0
57,557,Knoxville,1746066.0,1006866.0,1005613.0,937034.0,68579.0,1253.0,739200.0
58,558,Lima,144936.0,94405.0,94381.0,89278.0,5103.0,24.0,50531.0
59,559,Bluefield-Beckley-Oak Hill,1756951.0,929329.0,928129.0,860824.0,67305.0,1200.0,827622.0
60,560,Raleigh-Durham (Fayetvlle),2471358.0,1599059.0,1554839.0,1449599.0,105240.0,44220.0,872299.0
61,561,Jacksonville,2651285.0,1499842.0,1477556.0,1368657.0,108899.0,22286.0,1151443.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2317570.0,1461950.0,1460864.0,1369594.0,91270.0,1086.0,855620.0
63,564,Charleston-Huntington,923066.0,465286.0,464825.0,427390.0,37435.0,461.0,457780.0
64,565,Elmira (Corning),197912.0,114689.0,114626.0,107385.0,7241.0,63.0,83223.0
65,566,Harrisburg-Lncstr-Leb-York,1606299.0,1046079.0,1044517.0,991692.0,52825.0,1562.0,560220.0
66,567,Greenvll-Spart-Ashevll-And,9814232.0,6070440.0,5972675.0,5555930.0,416745.0,97765.0,3743792.0
67,569,Harrisonburg,130715.0,80288.0,80071.0,76564.0,3507.0,217.0,50427.0
68,570,Myrtle Beach-Florence,624398.0,349355.0,348950.0,317076.0,31874.0,405.0,275043.0
69,571,Ft. Myers-Naples,5204090.0,3090754.0,3083172.0,2867054.0,216118.0,7582.0,2113336.0
70,573,Roanoke-Lynchburg,699482.0,405658.0,404902.0,383975.0,20927.0,756.0,293824.0
71,574,Johnstown-Altoona-St Colge,628476.0,356031.0,355852.0,334758.0,21094.0,179.0,272445.0
72,575,Chattanooga,3248891.0,2027781.0,2012257.0,1893319.0,118938.0,15524.0,1221110.0
73,576,Salisbury,352291.0,206446.0,206172.0,191804.0,14368.0,274.0,145845.0
74,577,Wilkes Barre-Scranton-Hztn,4903209.0,3059492.0,3057270.0,2877820.0,179450.0,2222.0,1843717.0
75,581,Terre Haute,304484.0,177961.0,177709.0,166551.0,11158.0,252.0,126523.0
76,582,"Lafayette, In",158307.0,101360.0,101217.0,95995.0,5222.0,143.0,56947.0
77,583,Alpena,33199.0,17266.0,17235.0,16022.0,1213.0,31.0,15933.0
78,584,Charlottesville,161251.0,99010.0,98463.0,94079.0,4384.0,547.0,62241.0
79,588,South Bend-Elkhart,2413612.0,1548828.0,1547666.0,1448318.0,99348.0,1162.0,864784.0
80,592,Gainesville,278566.0,157233.0,157097.0,146331.0,10766.0,136.0,121333.0
81,596,Zanesville,68677.0,40964.0,40952.0,38123.0,2829.0,12.0,27713.0
82,597,Parkersburg,126472.0,70553.0,70443.0,66688.0,3755.0,110.0,55919.0
83,598,Clarksburg-Weston,222894.0,120071.0,120034.0,111388.0,8646.0,37.0,102823.0
84,600,Corpus Christi,466822.0,279601.0,277513.0,259992.0,17521.0,2088.0,187221.0
85,602,Chicago,10102448.0,6660557.0,6646653.0,6169077.0,477576.0,13904.0,3441891.0
86,603,Joplin-Pittsburg,502605.0,306077.0,305696.0,288582.0,17114.0,381.0,196528.0
87,604,Columbia-Jefferson City,384864.0,238847.0,238425.0,226655.0,11770.0,422.0,146017.0
88,605,Topeka,369636.0,244415.0,231437.0,219212.0,12225.0,12978.0,125221.0
89,606,Dothan,205708.0,117469.0,113661.0,104672.0,8989.0,3808.0,88239.0
90,609,St. Louis,4230868.0,2692852.0,2684043.0,2522071.0,161972.0,8809.0,1538016.0
91,610,Rockford,375312.0,240202.0,240074.0,218602.0,21472.0,128.0,135110.0
92,611,Rochestr-Mason City-Austin,292569.0,199965.0,199878.0,191752.0,8126.0,87.0,92604.0
93,612,Shreveport,1184723.0,672060.0,665023.0,620319.0,44704.0,7037.0,512663.0
94,613,Minneapolis-St. Paul,7164297.0,5013668.0,5010194.0,4789483.0,220711.0,3474.0,2150629.0
95,616,Kansas City,1961281.0,1319526.0,1312736.0,1248276.0,64460.0,6790.0,641755.0
96,617,Milwaukee,1849722.0,1234716.0,1233840.0,1164791.0,69049.0,876.0,615006.0
97,618,Houston,5331748.0,3522195.0,3519300.0,3304483.0,214817.0,2895.0,1809553.0
98,619,"Springfield, Mo",1283826.0,760704.0,734548.0,690931.0,43617.0,26156.0,523122.0
99,622,New Orleans,1414990.0,867073.0,863928.0,799699.0,64229.0,3145.0,547917.0
100,623,Dallas-Ft. Worth,5901816.0,3983185.0,3978867.0,3766346.0,212521.0,4318.0,1918631.0
101,624,Sioux City,2777831.0,1881743.0,1879848.0,1802684.0,77164.0,1895.0,896088.0
102,625,Waco-Temple-Bryan,10847677.0,7128718.0,7077252.0,6663947.0,413305.0,51466.0,3718959.0
103,626,Victoria,70606.0,45387.0,45376.0,43077.0,2299.0,11.0,25219.0
104,627,Wichita Falls & Lawton,335969.0,205783.0,189656.0,177540.0,12116.0,16127.0,130186.0
105,628,Monroe-El Dorado,374765.0,197787.0,197668.0,182400.0,15268.0,119.0,176978.0
106,630,Birmingham (Ann And Tusc),3160425.0,1821642.0,1814666.0,1682407.0,132259.0,6976.0,1338783.0
107,631,Ottumwa-Kirksville,101235.0,59693.0,59643.0,56125.0,3518.0,50.0,41542.0
108,632,Paducah-Cape Girard-Harsbg,1668980.0,955275.0,946702.0,881331.0,65371.0,8573.0,713705.0
109,633,Odessa-Midland,356624.0,228947.0,228774.0,216839.0,11935.0,173.0,127677.0
110,634,Amarillo,419991.0,265766.0,262962.0,250548.0,12414.0,2804.0,154225.0
111,635,Austin,1693285.0,1173876.0,1172294.0,1117280.0,55014.0,1582.0,519409.0
112,636,Harlingen-Wslco-Brnsvl-Mca,952916.0,541509.0,541254.0,495454.0,45800.0,255.0,411407.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,718892.0,494060.0,493787.0,475283.0,18504.0,273.0,224832.0
114,638,St. Joseph,130780.0,77613.0,77451.0,73184.0,4267.0,162.0,53167.0
115,639,"Jackson, Tn",196575.0,110680.0,110530.0,102556.0,7974.0,150.0,85895.0
116,640,Memphis,5643812.0,3290869.0,3280956.0,3032412.0,248544.0,9913.0,2352943.0
117,641,San Antonio,6333463.0,3958007.0,3931383.0,3707724.0,223659.0,26624.0,2375456.0
118,642,"Lafayette, La",468877.0,285369.0,285172.0,265524.0,19648.0,197.0,183508.0
119,643,Lake Charles,209197.0,125166.0,124740.0,116187.0,8553.0,426.0,84031.0
120,644,"Alexandria, La",192948.0,106465.0,100794.0,92804.0,7990.0,5671.0,86483.0
121,647,Greenwood-Greenville,144135.0,71550.0,71517.0,61573.0,9944.0,33.0,72585.0
122,648,Champaign&Sprngfld-Decatur,779094.0,483394.0,482926.0,452035.0,30891.0,468.0,295700.0
123,649,Evansville,1428167.0,831711.0,826581.0,774210.0,52371.0,5130.0,596456.0
124,650,Oklahoma City,2551851.0,1617163.0,1604940.0,1521933.0,83007.0,12223.0,934688.0
125,651,Lubbock,357349.0,225161.0,224859.0,213007.0,11852.0,302.0,132188.0
126,652,Omaha,871042.0,608673.0,604369.0,580048.0,24321.0,4304.0,262369.0
127,656,Panama City,316843.0,172743.0,169436.0,156996.0,12440.0,3307.0,144100.0
128,657,Sherman-Ada,268005.0,154455.0,154330.0,144524.0,9806.0,125.0,113550.0
129,658,Green Bay-Appleton,3813848.0,2545698.0,2544176.0,2426010.0,118166.0,1522.0,1268150.0
130,659,Nashville,3669413.0,2335435.0,2310727.0,2163791.0,146936.0,24708.0,1333978.0
131,661,San Angelo,1764383.0,1053042.0,1039183.0,974577.0,64606.0,13859.0,711341.0
132,662,Abilene-Sweetwater,247537.0,139795.0,136144.0,129680.0,6464.0,3651.0,107742.0
133,669,Madison,800203.0,556952.0,556379.0,533513.0,22866.0,573.0,243251.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,658264.0,398306.0,397844.0,378135.0,19709.0,462.0,259958.0
135,671,Tulsa,1641145.0,987100.0,977584.0,916846.0,60738.0,9516.0,654045.0
136,673,Columbus-Tupelo-West Point,389980.0,221391.0,220292.0,201688.0,18604.0,1099.0,168589.0
137,675,Peoria-Bloomington,1411419.0,907568.0,906856.0,849629.0,57227.0,712.0,503851.0
138,676,Duluth-Superior,900747.0,588161.0,587677.0,562614.0,25063.0,484.0,312586.0
139,678,Wichita-Hutchinson Plus,3178156.0,2109020.0,2087759.0,1987702.0,100057.0,21261.0,1069136.0
140,679,Des Moines-Ames,908703.0,623467.0,622629.0,595686.0,26943.0,838.0,285236.0
141,682,Davenport-R.Island-Moline,613488.0,385346.0,384883.0,364201.0,20682.0,463.0,228142.0
