,DMA Code,DMA Name,universe,only_english,total_spanish,spanish_and_english_very_well,spanish_and_english_less_than_very_well,total_french_haitan_or_cajun,french_haitan_or_cajun_and_english_very_well,french_haitan_or_cajun_and_english_less_than_very_well,total_german_or_other_west_germanic,german_or_other_west_germanic_and_english_very_well,german_or_other_west_germanic_and_english_less_than_very_well,total_russian_polish_or_other_slavic,russian_polish_or_other_slavic_and_english_very_well,russian_polish_or_other_slavic_and_english_less_than_very_well,total_other_indo_european,other_indo_european_and_english_very_well,other_indo_european_and_english_less_than_very_well,total_korean,korean_and_english_very_well,korean_and_english_less_than_very_well,total_chinese,chinese_and_english_very_well,chinese_and_english_less_than_very_well,total_tagalog,tagalog_and_english_very_well,tagalog_and_english_less_than_very_well,total_other_asian,other_asian_and_english_very_well,other_asian_and_english_less_than_very_well,total_arabic,arabic_and_english_very_well,arabic_and_english_less_than_very_well,total_other,other_and_english_very_well,other_and_english_less_than_very_well,total_english,total_english_less_than_very_well
0,500,Portland-Auburn,946946.0,886122.0,9349.0,7273.0,2076.0,26782.0,21812.0,4970.0,2410.0,2039.0,371.0,2533.0,1771.0,762.0,5126.0,4102.0,1024.0,377.0,268.0,109.0,2530.0,1304.0,1226.0,1031.0,619.0,412.0,2724.0,1397.0,1327.0,2114.0,894.0,1220.0,4704.0,2843.0,1861.0,930941.0,16005.0
1,501,New York,20195170.0,12522128.0,3919886.0,2153636.0,1766250.0,350265.0,230396.0,119869.0,212659.0,144723.0,67936.0,465961.0,242439.0,223522.0,1089595.0,699927.0,389668.0,165499.0,71028.0,94471.0,659257.0,242333.0,416924.0,141977.0,103817.0,38160.0,233447.0,148210.0,85237.0,142791.0,89141.0,53650.0,265110.0,201479.0,63631.0,16860879.0,3334291.0
2,502,Binghamton,322874.0,299625.0,6242.0,4182.0,2060.0,1239.0,1012.0,227.0,1376.0,1117.0,259.0,2945.0,2158.0,787.0,4870.0,3587.0,1283.0,411.0,175.0,236.0,2666.0,1596.0,1070.0,364.0,265.0,99.0,1346.0,771.0,575.0,432.0,243.0,189.0,783.0,556.0,227.0,315563.0,7311.0
3,503,Macon,629438.0,595335.0,20576.0,11704.0,8872.0,1343.0,1129.0,214.0,1534.0,1346.0,188.0,114.0,59.0,55.0,3123.0,1926.0,1197.0,1057.0,660.0,397.0,770.0,328.0,442.0,853.0,514.0,339.0,1255.0,832.0,423.0,373.0,237.0,136.0,1138.0,773.0,365.0,615595.0,13843.0
4,504,Philadelphia,7631878.0,6318908.0,643532.0,378752.0,264780.0,55459.0,38559.0,16900.0,35034.0,29318.0,5716.0,68908.0,39273.0,29635.0,186640.0,124916.0,61724.0,30791.0,14410.0,16381.0,87885.0,41027.0,46858.0,22746.0,15856.0,6890.0,70953.0,44789.0,26164.0,29934.0,19428.0,10506.0,45387.0,35005.0,10382.0,7113323.0,518555.0
5,505,Detroit,8125408.0,7168443.0,213224.0,144096.0,69128.0,22019.0,17338.0,4681.0,39396.0,32764.0,6632.0,73011.0,44542.0,28469.0,189299.0,126610.0,62689.0,18583.0,9359.0,9224.0,54503.0,28182.0,26321.0,20964.0,15129.0,5835.0,76028.0,51166.0,24862.0,163974.0,92509.0,71465.0,75054.0,46839.0,28215.0,7782040.0,343368.0
6,506,Boston (Manchester),6175513.0,4856297.0,475746.0,275876.0,199870.0,132869.0,88958.0,43911.0,20770.0,18837.0,1933.0,59016.0,38210.0,20806.0,277878.0,177702.0,100176.0,15316.0,8917.0,6399.0,126624.0,62918.0,63706.0,8655.0,6333.0,2322.0,73878.0,46894.0,26984.0,33212.0,19963.0,13249.0,55568.0,39892.0,15676.0,5655355.0,520158.0
7,507,Savannah,5130148.0,4371465.0,414713.0,236200.0,178513.0,29290.0,22642.0,6648.0,17204.0,14952.0,2252.0,19919.0,12456.0,7463.0,81466.0,58665.0,22801.0,34010.0,16005.0,18005.0,31638.0,14636.0,17002.0,7628.0,5862.0,1766.0,43683.0,30396.0,13287.0,11133.0,7810.0,3323.0,34761.0,27244.0,7517.0,4830143.0,300005.0
8,508,Pittsburgh,2682314.0,2546168.0,29739.0,21168.0,8571.0,6934.0,5719.0,1215.0,14580.0,11259.0,3321.0,11756.0,8692.0,3064.0,29691.0,21370.0,8321.0,3245.0,1592.0,1653.0,13957.0,7150.0,6807.0,1966.0,1393.0,573.0,11008.0,7735.0,3273.0,4964.0,3036.0,1928.0,5966.0,4490.0,1476.0,2640747.0,41567.0
9,509,Ft. Wayne,1909041.0,1770433.0,63244.0,39672.0,23572.0,3183.0,2569.0,614.0,16100.0,13378.0,2722.0,5512.0,3206.0,2306.0,13437.0,8999.0,4438.0,2168.0,1143.0,1025.0,5688.0,3316.0,2372.0,2100.0,1638.0,462.0,17508.0,8386.0,9122.0,3729.0,1930.0,1799.0,2534.0,2209.0,325.0,1857959.0,51082.0
