,DMA Code,DMA Name,median
0,500,Portland-Auburn,957.0125779177308
1,501,New York,1528.8469375625061
2,502,Binghamton,758.1303430364678
3,503,Macon,764.7371546743188
4,504,Philadelphia,1179.1808697751583
5,505,Detroit,964.3578564829926
6,506,Boston (Manchester),1440.1316793297028
7,507,Savannah,1073.1856035143878
8,508,Pittsburgh,816.4756189143794
9,509,Ft. Wayne,851.527292209681
10,510,Cleveland-Akron (Canton),813.4000941238689
11,511,"Washington, Dc (Hagrstwn)",1558.0329053537364
12,512,Baltimore,1346.864992118951
13,513,Flint-Saginaw-Bay City,747.162239859513
14,514,Buffalo,950.4081525201424
15,515,Cincinnati,860.309682922412
16,516,Erie,726.1791439939886
17,517,Charlotte,967.4234872362539
18,518,Greensboro-H.Point-W.Salem,785.2598668895959
19,519,"Charleston, Sc",1136.3443131544082
20,520,Augusta-Aiken,918.9828288856245
21,521,Providence-New Bedford,1012.8747078370908
22,522,"Columbus, Ga (Opelika, Al)",836.0774279325148
23,523,Burlington-Plattsburgh,981.7770587012812
24,524,Atlanta,1108.7548857842303
25,525,"Albany, Ga",699.4343227634037
26,526,Utica,765.7860754545684
27,527,Indianapolis,899.7349258114895
28,528,Miami-Ft. Lauderdale,1403.0995052232317
29,529,Louisville,836.0571896983797
30,530,Tallahassee-Thomasville,859.5050357654549
31,531,"Tri-Cities, Tn-Va",657.191407120507
32,532,Albany-Schenectady-Troy,982.3583454380259
33,533,Hartford & New Haven,1140.2833359289298
34,534,Orlando-Daytona Bch-Melbrn,1185.234269886159
35,535,"Columbus, Oh",923.2161177109479
36,536,Youngstown,677.89421646538
37,537,Bangor,782.2152139011088
38,538,"Rochester, Ny",1419.0029723832797
39,539,Tampa-St. Pete (Sarasota),1132.8056244033296
40,540,Traverse City-Cadillac,849.815235287476
41,541,Lexington,738.865180077472
42,542,Dayton,794.4838264790227
43,543,Springfield-Holyoke,964.36244035749
44,544,Norfolk-Portsmth-Newpt Nws,1180.405545323565
45,545,Greenville-N.Bern-Washngtn,847.4621383527871
46,546,"Columbia, Sc",882.8491295296762
47,547,Toledo,757.5641060618979
48,548,West Palm Beach-Ft. Pierce,1119.0572808215918
49,549,Watertown,1008.5925143503521
50,550,Wilmington,951.7808126888799
51,551,Lansing,858.1400896281004
52,552,Presque Isle,589.0
53,553,Marquette,644.1566543111609
54,554,Wheeling-Steubenville,646.5026537938169
55,555,Syracuse,877.6224066435573
56,556,Richmond-Petersburg,1252.4036115816054
57,557,Knoxville,780.9665508913147
