Market,DMA Name,per_capita_income
500,Portland-Auburn,35940.38665145917
501,New York,45310.15661821786
502,Binghamton,29749.274801909367
503,Macon,25830.701828725018
504,Philadelphia,39242.13137815939
505,Detroit,36064.96755210994
506,Boston (Manchester),47147.97598864409
507,Savannah,33303.173468857916
508,Pittsburgh,35819.1947337813
509,Ft. Wayne,33069.61109505729
510,Cleveland-Akron (Canton),32889.1031060352
511,"Washington, Dc (Hagrstwn)",47838.022992564336
512,Baltimore,41991.94382238264
513,Flint-Saginaw-Bay City,28509.791597573567
514,Buffalo,34609.84963137843
515,Cincinnati,35162.983694177994
516,Erie,28660.931697034186
517,Charlotte,33923.46713457613
518,Greensboro-H.Point-W.Salem,29087.66463460443
519,"Charleston, Sc",35585.50283167614
520,Augusta-Aiken,29805.204036941825
521,Providence-New Bedford,37294.30223015374
522,"Columbus, Ga (Opelika, Al)",26583.63907392309
523,Burlington-Plattsburgh,35048.91893033471
524,Atlanta,34351.16582024863
525,"Albany, Ga",22381.153010415266
526,Utica,30822.821381736565
527,Indianapolis,32426.523061801236
528,Miami-Ft. Lauderdale,31717.122747959
529,Louisville,31726.11003746896
530,Tallahassee-Thomasville,26734.91966742497
531,"Tri-Cities, Tn-Va",26012.10166772444
532,Albany-Schenectady-Troy,37238.39870614822
533,Hartford & New Haven,40928.19394778016
534,Orlando-Daytona Bch-Melbrn,31044.548938854896
535,"Columbus, Oh",33473.35469794345
536,Youngstown,27796.989126311797
537,Bangor,29492.30792370155
538,"Rochester, Ny",43387.69740515573
539,Tampa-St. Pete (Sarasota),33097.30872764408
540,Traverse City-Cadillac,29728.169296525335
541,Lexington,27866.25357501686
542,Dayton,31127.368041672882
543,Springfield-Holyoke,33112.90776580195
544,Norfolk-Portsmth-Newpt Nws,36414.8666058977
545,Greenville-N.Bern-Washngtn,26505.046622833233
546,"Columbia, Sc",28830.77216771172
547,Toledo,30336.89587537064
548,West Palm Beach-Ft. Pierce,34821.208280140294
549,Watertown,34233.05407504512
550,Wilmington,32946.55048795981
551,Lansing,31413.67797527692
552,Presque Isle,26774.0
553,Marquette,27557.352164882417
554,Wheeling-Steubenville,27347.332515439415
555,Syracuse,32946.17099720296
556,Richmond-Petersburg,42370.969270210226
557,Knoxville,29000.172182456834
558,Lima,29454.00978322265
559,Bluefield-Beckley-Oak Hill,26904.137876873243
560,Raleigh-Durham (Fayetvlle),34132.742523024994
561,Jacksonville,31660.252116985885
563,Grand Rapids-Kalmzoo-B.Crk,31367.478847456707
564,Charleston-Huntington,25126.69649501286
565,Elmira (Corning),29713.97517207267
566,Harrisburg-Lncstr-Leb-York,33669.672545811714
567,Greenvll-Spart-Ashevll-And,31609.15256648132
569,Harrisonburg,31692.787611375563
570,Myrtle Beach-Florence,25003.80231714616
571,Ft. Myers-Naples,33325.47446055933
573,Roanoke-Lynchburg,30349.286092230817
574,Johnstown-Altoona-St Colge,28502.878848473563
575,Chattanooga,32785.79043038909
576,Salisbury,33957.83708880669
577,Wilkes Barre-Scranton-Hztn,35695.28949740467
581,Terre Haute,26530.033301114487
582,"Lafayette, In",27610.420842883803
583,Alpena,26305.482653823372
584,Charlottesville,41720.411840982764
588,South Bend-Elkhart,29590.736342201177
592,Gainesville,28125.675396504772
596,Zanesville,26376.0
597,Parkersburg,29159.045619849927
598,Clarksburg-Weston,26531.38623884374
600,Corpus Christi,26339.550033969877
602,Chicago,37633.53245091632
603,Joplin-Pittsburg,25159.142300124357
604,Columbia-Jefferson City,28969.3200880666
605,Topeka,29576.846323804417
606,Dothan,26300.116224182
609,St. Louis,33219.575341688455
610,Rockford,30299.97353238693
611,Rochestr-Mason City-Austin,36109.01366327615
612,Shreveport,26990.888427403315
613,Minneapolis-St. Paul,39235.374008941886
616,Kansas City,35280.550137581515
617,Milwaukee,35374.22749129518
618,Houston,34633.73316809981
619,"Springfield, Mo",27033.37562207098
622,New Orleans,30983.827863811923
623,Dallas-Ft. Worth,35630.30722134043
624,Sioux City,32747.35774650431
625,Waco-Temple-Bryan,33007.41468213977
626,Victoria,29424.0
627,Wichita Falls & Lawton,26951.869020566115
628,Monroe-El Dorado,23885.385260407616
630,Birmingham (Ann And Tusc),29509.229966210954
631,Ottumwa-Kirksville,25747.956417391582
632,Paducah-Cape Girard-Harsbg,26375.604572405646
633,Odessa-Midland,31958.80446618572
634,Amarillo,26715.690140586405
635,Austin,40773.62973683284
636,Harlingen-Wslco-Brnsvl-Mca,17802.59980507378
637,Cedar Rapids-Wtrlo-Iwc&Dub,33710.64921027371
638,St. Joseph,25869.926478097874
639,"Jackson, Tn",24761.127034054516
640,Memphis,27007.451729577555
641,San Antonio,31673.533619854457
642,"Lafayette, La",27807.10885956567
643,Lake Charles,28766.62460957548
644,"Alexandria, La",25578.195686509
647,Greenwood-Greenville,20970.75051766901
648,Champaign&Sprngfld-Decatur,31090.82616156881
649,Evansville,28015.137038710116
650,Oklahoma City,30780.84639847068
651,Lubbock,26761.27851276501
652,Omaha,34716.73373587778
656,Panama City,28326.400285640095
657,Sherman-Ada,26715.68182297831
658,Green Bay-Appleton,34626.26208846293
659,Nashville,31555.866347814037
661,San Angelo,24143.436607098494
662,Abilene-Sweetwater,26416.26039532553
669,Madison,36743.25244864909
670,Ft. Smith-Fay-Sprngdl-Rgrs,29608.032494916486
671,Tulsa,29926.317159721184
673,Columbus-Tupelo-West Point,24098.758923521968
675,Peoria-Bloomington,33558.0080012773
676,Duluth-Superior,35867.20061826309
678,Wichita-Hutchinson Plus,31762.13833331824
679,Des Moines-Ames,34216.03632489851
682,Davenport-R.Island-Moline,31090.458578373768
686,Mobile-Pensacola (Ft Walt),29560.2246792727
687,Bismarck-Mnt-Dcknsn(Wlstn),35090.46245174443
691,Huntsville-Decatur (Flor),29834.08685263423
692,Beaumont-Port Arthur,27790.446048733505
693,Little Rock-Pine Bluff,27821.042255469893
698,Montgomery-Selma,26940.925919629455
702,La Crosse-Eau Claire,31130.484606003552
705,Wausau-Rhinelander,32299.298943849728
709,Tyler-Longview(Lfkn&Ncgd),26905.64206150005
710,Hattiesburg-Laurel,24895.19363828818
711,Meridian,22997.700587626477
716,Baton Rouge,29652.142510828642
717,Quincy-Hannibal-Keokuk,37669.9942949061
718,"Jackson, Ms",26547.465629819
722,Lincoln & Hastings-Krny,31695.360231786693
724,Fargo,34446.69642733417
725,Sioux Falls(Mitchell),31476.7628240968
734,Jonesboro,25740.2344436891
736,Bowling Green,26715.505063224722
737,Mankato,32901.73892517063
740,North Platte,33166.32835310021
743,Anchorage,36531.654446819295
744,Honolulu,37009.59952184994
745,Fairbanks,37627.88128997969
746,Biloxi-Gulfport,26943.841221486266
747,Juneau,43026.046468457134
749,Laredo,19025.287270400222
751,Denver,41267.93966167099
752,Colorado Springs-Pueblo,32550.27673162431
753,Phoenix (Prescott),33353.364210401756
754,Butte-Bozeman,34890.34689230289
755,Great Falls,28084.658059025525
756,Billings,34278.493512873916
757,Boise,31621.657039762864
758,Idaho Fals-Pocatllo(Jcksn),28071.35814984513
759,Cheyenne-Scottsbluff,33653.51292698214
760,Twin Falls,26599.0214335786
