,DMA Code,DMA Name,universe
0,500,Portland-Auburn,1008275.0
1,501,New York,21240907.0
2,502,Binghamton,332676.0
3,503,Macon,671178.0
4,504,Philadelphia,8134792.0
5,505,Detroit,8670610.0
6,506,Boston (Manchester),6627031.0
7,507,Savannah,5681331.0
8,508,Pittsburgh,2797681.0
9,509,Ft. Wayne,2086731.0
10,510,Cleveland-Akron (Canton),3811998.0
11,511,"Washington, Dc (Hagrstwn)",8819112.0
12,512,Baltimore,4399795.0
13,513,Flint-Saginaw-Bay City,1134339.0
14,514,Buffalo,8005500.0
15,515,Cincinnati,2396322.0
16,516,Erie,396586.0
17,517,Charlotte,3313604.0
18,518,Greensboro-H.Point-W.Salem,1823599.0
19,519,"Charleston, Sc",921539.0
20,520,Augusta-Aiken,7058016.0
21,521,Providence-New Bedford,1621099.0
22,522,"Columbus, Ga (Opelika, Al)",591182.0
23,523,Burlington-Plattsburgh,890185.0
24,524,Atlanta,10164796.0
25,525,"Albany, Ga",409495.0
26,526,Utica,158612.0
27,527,Indianapolis,3056201.0
28,528,Miami-Ft. Lauderdale,4722938.0
29,529,Louisville,1771333.0
30,530,Tallahassee-Thomasville,755198.0
31,531,"Tri-Cities, Tn-Va",767333.0
32,532,Albany-Schenectady-Troy,1382384.0
33,533,Hartford & New Haven,2626243.0
34,534,Orlando-Daytona Bch-Melbrn,4303370.0
35,535,"Columbus, Oh",2590889.0
36,536,Youngstown,640629.0
37,537,Bangor,345066.0
38,538,"Rochester, Ny",11049719.0
39,539,Tampa-St. Pete (Sarasota),4959815.0
40,540,Traverse City-Cadillac,4322032.0
41,541,Lexington,1307826.0
42,542,Dayton,1206540.0
43,543,Springfield-Holyoke,698537.0
44,544,Norfolk-Portsmth-Newpt Nws,3531408.0
45,545,Greenville-N.Bern-Washngtn,818097.0
46,546,"Columbia, Sc",1115891.0
47,547,Toledo,1055610.0
48,548,West Palm Beach-Ft. Pierce,2815218.0
49,549,Watertown,1802569.0
50,550,Wilmington,519510.0
51,551,Lansing,683491.0
52,552,Presque Isle,67431.0
53,553,Marquette,212321.0
54,554,Wheeling-Steubenville,324818.0
55,555,Syracuse,911319.0
56,556,Richmond-Petersburg,3305034.0
57,557,Knoxville,2186994.0
58,558,Lima,182353.0
59,559,Bluefield-Beckley-Oak Hill,2107373.0
60,560,Raleigh-Durham (Fayetvlle),3263519.0
61,561,Jacksonville,3424208.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2952080.0
63,564,Charleston-Huntington,1107850.0
64,565,Elmira (Corning),238562.0
65,566,Harrisburg-Lncstr-Leb-York,2034196.0
66,567,Greenvll-Spart-Ashevll-And,12675779.0
67,569,Harrisonburg,163860.0
68,570,Myrtle Beach-Florence,803661.0
69,571,Ft. Myers-Naples,6572873.0
70,573,Roanoke-Lynchburg,842148.0
71,574,Johnstown-Altoona-St Colge,741138.0
72,575,Chattanooga,4182448.0
73,576,Salisbury,443131.0
74,577,Wilkes Barre-Scranton-Hztn,6010800.0
75,581,Terre Haute,374522.0
76,582,"Lafayette, In",201997.0
77,583,Alpena,38827.0
78,584,Charlottesville,205135.0
79,588,South Bend-Elkhart,3103648.0
80,592,Gainesville,344069.0
81,596,Zanesville,86033.0
82,597,Parkersburg,152061.0
83,598,Clarksburg-Weston,267899.0
84,600,Corpus Christi,600532.0
85,602,Chicago,12668009.0
86,603,Joplin-Pittsburg,635270.0
87,604,Columbia-Jefferson City,481908.0
88,605,Topeka,462557.0
89,606,Dothan,260574.0
90,609,St. Louis,5322246.0
91,610,Rockford,466608.0
92,611,Rochestr-Mason City-Austin,375459.0
93,612,Shreveport,1500709.0
94,613,Minneapolis-St. Paul,9212376.0
95,616,Kansas City,2557393.0
96,617,Milwaukee,2332331.0
97,618,Houston,7345160.0
98,619,"Springfield, Mo",1626824.0
99,622,New Orleans,1795282.0
100,623,Dallas-Ft. Worth,8133670.0
101,624,Sioux City,3543934.0
102,625,Waco-Temple-Bryan,14725592.0
103,626,Victoria,92044.0
104,627,Wichita Falls & Lawton,420692.0
105,628,Monroe-El Dorado,466173.0
106,630,Birmingham (Ann And Tusc),3986203.0
107,631,Ottumwa-Kirksville,125417.0
108,632,Paducah-Cape Girard-Harsbg,2078512.0
109,633,Odessa-Midland,493889.0
110,634,Amarillo,544505.0
111,635,Austin,2327874.0
112,636,Harlingen-Wslco-Brnsvl-Mca,1368723.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,908416.0
114,638,St. Joseph,160578.0
115,639,"Jackson, Tn",245753.0
116,640,Memphis,7187362.0
117,641,San Antonio,8729083.0
118,642,"Lafayette, La",606497.0
119,643,Lake Charles,272780.0
120,644,"Alexandria, La",242495.0
121,647,Greenwood-Greenville,175788.0
122,648,Champaign&Sprngfld-Decatur,949255.0
123,649,Evansville,1801958.0
124,650,Oklahoma City,3352076.0
125,651,Lubbock,471210.0
126,652,Omaha,1150846.0
127,656,Panama City,392802.0
128,657,Sherman-Ada,350635.0
129,658,Green Bay-Appleton,4792855.0
130,659,Nashville,4821036.0
131,661,San Angelo,2395071.0
132,662,Abilene-Sweetwater,313362.0
133,669,Madison,1014539.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,884723.0
135,671,Tulsa,2106765.0
136,673,Columbus-Tupelo-West Point,491566.0
137,675,Peoria-Bloomington,1766218.0
138,676,Duluth-Superior,1134792.0
139,678,Wichita-Hutchinson Plus,4085039.0
140,679,Des Moines-Ames,1180898.0
141,682,Davenport-R.Island-Moline,757358.0
142,686,Mobile-Pensacola (Ft Walt),1483893.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1534279.0
144,691,Huntsville-Decatur (Flor),3377399.0
145,692,Beaumont-Port Arthur,465142.0
146,693,Little Rock-Pine Bluff,1474389.0
147,698,Montgomery-Selma,623512.0
148,702,La Crosse-Eau Claire,560868.0
149,705,Wausau-Rhinelander,446338.0
150,709,Tyler-Longview(Lfkn&Ncgd),764162.0
