,DMA Code,DMA Name,universe,income_past12months_below_poverty_level,income_past12months_at_or_above_poverty_level
0,500,Portland-Auburn,981851.0,94980.0,886871.0
1,501,New York,20859493.0,2530251.0,18329242.0
2,502,Binghamton,319346.0,51437.0,267909.0
3,503,Macon,633589.0,127185.0,506404.0
4,504,Philadelphia,7910845.0,942042.0,6968803.0
5,505,Detroit,8538042.0,1048093.0,7489949.0
6,506,Boston (Manchester),6418755.0,566676.0,5852079.0
7,507,Savannah,5512725.0,777417.0,4735308.0
8,508,Pittsburgh,2713514.0,310463.0,2403051.0
9,509,Ft. Wayne,2043111.0,212134.0,1830977.0
10,510,Cleveland-Akron (Canton),3722327.0,503177.0,3219150.0
11,511,"Washington, Dc (Hagrstwn)",8632424.0,671665.0,7960759.0
12,512,Baltimore,4289661.0,407291.0,3882370.0
13,513,Flint-Saginaw-Bay City,1105027.0,181821.0,923206.0
14,514,Buffalo,7757784.0,1076831.0,6680953.0
15,515,Cincinnati,2342249.0,282874.0,2059375.0
16,516,Erie,378915.0,55140.0,323775.0
17,517,Charlotte,3248650.0,396768.0,2851882.0
18,518,Greensboro-H.Point-W.Salem,1776049.0,275560.0,1500489.0
19,519,"Charleston, Sc",900568.0,120232.0,780336.0
20,520,Augusta-Aiken,6863610.0,1036731.0,5826879.0
21,521,Providence-New Bedford,1565510.0,176231.0,1389279.0
22,522,"Columbus, Ga (Opelika, Al)",564800.0,109999.0,454801.0
23,523,Burlington-Plattsburgh,844094.0,94709.0,749385.0
24,524,Atlanta,9944394.0,1254965.0,8689429.0
25,525,"Albany, Ga",390941.0,93235.0,297706.0
26,526,Utica,149896.0,19061.0,130835.0
27,527,Indianapolis,2964671.0,380340.0,2584331.0
28,528,Miami-Ft. Lauderdale,4667662.0,679771.0,3987891.0
29,529,Louisville,1728385.0,221609.0,1506776.0
30,530,Tallahassee-Thomasville,712836.0,142668.0,570168.0
31,531,"Tri-Cities, Tn-Va",741789.0,133082.0,608707.0
32,532,Albany-Schenectady-Troy,1332755.0,140623.0,1192132.0
33,533,Hartford & New Haven,2540062.0,256438.0,2283624.0
34,534,Orlando-Daytona Bch-Melbrn,4219973.0,536272.0,3683701.0
35,535,"Columbus, Oh",2503712.0,337033.0,2166679.0
