,DMA Code,DMA Name,universe,total_less_than_10_percent,total_10_to_14.9_percent,total_15_to_19.9_percent,total_20_to_24.9_percent,total_25_to_29.9_percent,total_30_to_34.9_percent,total_35_to_39.9_percent,total_40_to_49.9_percent,total_50_percent_or_more,total_not_computed
0,500,Portland-Auburn,117423.0,3413.0,8919.0,14471.0,15127.0,16492.0,11134.0,7578.0,8941.0,21405.0,9943.0
1,501,New York,3655925.0,175604.0,296718.0,413208.0,411358.0,373268.0,315893.0,224568.0,302699.0,956258.0,186351.0
2,502,Binghamton,42214.0,1795.0,4355.0,4396.0,4081.0,3947.0,2761.0,2586.0,3902.0,10401.0,3990.0
3,503,Macon,87844.0,3733.0,7444.0,10161.0,8086.0,7802.0,7279.0,4890.0,6740.0,20737.0,10972.0
4,504,Philadelphia,1005242.0,35027.0,80804.0,121011.0,117341.0,111112.0,86267.0,58413.0,82963.0,250838.0,61466.0
5,505,Detroit,994754.0,40100.0,97716.0,125463.0,118411.0,103530.0,79807.0,53766.0,78733.0,230361.0,66867.0
6,506,Boston (Manchester),927314.0,35313.0,76931.0,114213.0,116805.0,110450.0,85563.0,56560.0,73013.0,208519.0,49947.0
7,507,Savannah,771722.0,27884.0,65705.0,91748.0,94050.0,81044.0,65252.0,46771.0,68334.0,171653.0,59281.0
8,508,Pittsburgh,365859.0,19613.0,39336.0,47842.0,43942.0,36938.0,26974.0,18422.0,26594.0,74350.0,31848.0
9,509,Ft. Wayne,216777.0,10750.0,24911.0,31087.0,27946.0,22348.0,17520.0,11293.0,15690.0,39758.0,15474.0
10,510,Cleveland-Akron (Canton),527296.0,23911.0,53320.0,68697.0,61837.0,57507.0,43225.0,28195.0,38805.0,112468.0,39331.0
11,511,"Washington, Dc (Hagrstwn)",1028377.0,36018.0,85642.0,136039.0,141622.0,120030.0,89778.0,66498.0,80726.0,214137.0,57887.0
12,512,Baltimore,535347.0,19132.0,43361.0,65838.0,66792.0,62022.0,43237.0,33733.0,45560.0,124893.0,30779.0
13,513,Flint-Saginaw-Bay City,124219.0,4514.0,11140.0,13515.0,14515.0,13317.0,9824.0,7796.0,9766.0,29562.0,10270.0
14,514,Buffalo,1112767.0,49750.0,103271.0,139636.0,127446.0,116183.0,87296.0,61027.0,85334.0,261921.0,80903.0
15,515,Cincinnati,306939.0,13927.0,34833.0,42756.0,36422.0,32469.0,22822.0,16519.0,22205.0,62538.0,22448.0
16,516,Erie,49854.0,2697.0,5151.0,5757.0,5961.0,5206.0,3811.0,2718.0,3278.0,11073.0,4202.0
17,517,Charlotte,411484.0,18251.0,39441.0,55059.0,52271.0,44400.0,33475.0,24778.0,31544.0,79519.0,32746.0
18,518,Greensboro-H.Point-W.Salem,243145.0,10160.0,23483.0,29988.0,26550.0,26601.0,18979.0,15296.0,21576.0,50016.0,20496.0
19,519,"Charleston, Sc",112209.0,4330.0,7239.0,12752.0,13260.0,11989.0,8576.0,7932.0,9383.0,25147.0,11601.0
20,520,Augusta-Aiken,827079.0,32751.0,71328.0,97932.0,92107.0,81027.0,65111.0,49584.0,64292.0,180347.0,92600.0
21,521,Providence-New Bedford,241221.0,11560.0,22057.0,30132.0,27800.0,28355.0,21543.0,15008.0,19385.0,51247.0,14134.0
22,522,"Columbus, Ga (Opelika, Al)",89653.0,3499.0,8242.0,11182.0,9738.0,8620.0,6155.0,5634.0,7274.0,20350.0,8959.0
23,523,Burlington-Plattsburgh,106115.0,3721.0,8257.0,12564.0,13193.0,12730.0,9003.0,7139.0,7951.0,23385.0,8172.0
24,524,Atlanta,1271396.0,45557.0,107651.0,164983.0,157695.0,131506.0,106990.0,80501.0,112398.0,280586.0,83529.0
25,525,"Albany, Ga",59932.0,2929.0,6749.0,6633.0,6011.0,4991.0,4223.0,2878.0,4231.0,13222.0,8065.0
26,526,Utica,16876.0,972.0,1740.0,2507.0,1698.0,1840.0,970.0,852.0,1515.0,3194.0,1588.0
27,527,Indianapolis,394147.0,16288.0,37166.0,51102.0,48304.0,42324.0,33274.0,22547.0,31539.0,83478.0,28125.0
28,528,Miami-Ft. Lauderdale,712082.0,12800.0,30804.0,57913.0,73743.0,74904.0,65539.0,53088.0,77326.0,227800.0,38165.0
29,529,Louisville,219378.0,10404.0,25061.0,31785.0,26247.0,24692.0,16850.0,13501.0,15518.0,38225.0,17095.0
30,530,Tallahassee-Thomasville,111883.0,4329.0,8776.0,10620.0,11757.0,9656.0,9132.0,5894.0,9610.0,27322.0,14787.0
31,531,"Tri-Cities, Tn-Va",88036.0,5041.0,8392.0,9533.0,8496.0,7724.0,6335.0,4254.0,6527.0,15199.0,16535.0
32,532,Albany-Schenectady-Troy,190869.0,7321.0,18693.0,25441.0,25112.0,22010.0,16398.0,10532.0,14846.0,39802.0,10714.0
33,533,Hartford & New Haven,355082.0,13723.0,27154.0,41733.0,41251.0,40850.0,30550.0,21808.0,30638.0,85107.0,22268.0
34,534,Orlando-Daytona Bch-Melbrn,514652.0,12473.0,33431.0,54409.0,62823.0,57000.0,44031.0,33543.0,54580.0,128879.0,33483.0
35,535,"Columbus, Oh",366055.0,13750.0,38068.0,52463.0,50405.0,41953.0,29082.0,20951.0,26179.0,71990.0,21214.0
36,536,Youngstown,79787.0,3714.0,8155.0,8995.0,9011.0,8142.0,6475.0,4570.0,6530.0,16279.0,7916.0
37,537,Bangor,37728.0,1388.0,3533.0,4448.0,4030.0,4910.0,3175.0,2603.0,2857.0,6712.0,4072.0
38,538,"Rochester, Ny",2261251.0,125592.0,196716.0,256219.0,252149.0,229017.0,194938.0,137366.0,180247.0,570393.0,118614.0
39,539,Tampa-St. Pete (Sarasota),604858.0,16484.0,37930.0,66409.0,74092.0,70727.0,53696.0,42741.0,57240.0,146223.0,39316.0
40,540,Traverse City-Cadillac,525643.0,19573.0,44280.0,58087.0,56272.0,54648.0,42250.0,29983.0,41763.0,131572.0,47215.0
41,541,Lexington,174626.0,8397.0,18615.0,20561.0,18933.0,17920.0,12610.0,9748.0,10498.0,34048.0,23296.0
42,542,Dayton,166839.0,8363.0,20732.0,22622.0,20356.0,18869.0,13617.0,8615.0,12223.0,31328.0,10114.0
43,543,Springfield-Holyoke,97921.0,3718.0,8315.0,9548.0,10368.0,11638.0,9436.0,6671.0,8564.0,24506.0,5157.0
44,544,Norfolk-Portsmth-Newpt Nws,490046.0,17535.0,38359.0,58898.0,62928.0,55953.0,42343.0,31922.0,42669.0,106400.0,33039.0
45,545,Greenville-N.Bern-Washngtn,121589.0,5802.0,10759.0,13655.0,15505.0,11399.0,9927.0,6355.0,9900.0,25898.0,12389.0
46,546,"Columbia, Sc",134877.0,4946.0,10870.0,15396.0,13459.0,13247.0,11218.0,6997.0,10349.0,31784.0,16611.0
47,547,Toledo,141073.0,7809.0,15834.0,18294.0,18063.0,15750.0,10252.0,7130.0,10223.0,27425.0,10293.0
48,548,West Palm Beach-Ft. Pierce,270639.0,7304.0,16815.0,29555.0,33280.0,27882.0,23461.0,20033.0,24626.0,66682.0,21001.0
