,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
0,500,Portland-Auburn,428888.0,311465.0,117423.0
1,501,New York,7792301.0,4136376.0,3655925.0
2,502,Binghamton,139935.0,97721.0,42214.0
3,503,Macon,246612.0,158768.0,87844.0
4,504,Philadelphia,3077379.0,2072137.0,1005242.0
5,505,Detroit,3472241.0,2477487.0,994754.0
6,506,Boston (Manchester),2551432.0,1624118.0,927314.0
7,507,Savannah,2074659.0,1302937.0,771722.0
8,508,Pittsburgh,1209090.0,843231.0,365859.0
9,509,Ft. Wayne,810464.0,593687.0,216777.0
10,510,Cleveland-Akron (Canton),1582195.0,1054899.0,527296.0
11,511,"Washington, Dc (Hagrstwn)",3200614.0,2172237.0,1028377.0
12,512,Baltimore,1669267.0,1133920.0,535347.0
13,513,Flint-Saginaw-Bay City,470747.0,346528.0,124219.0
14,514,Buffalo,3257619.0,2144852.0,1112767.0
15,515,Cincinnati,941288.0,634349.0,306939.0
16,516,Erie,162681.0,112827.0,49854.0
17,517,Charlotte,1257186.0,845702.0,411484.0
18,518,Greensboro-H.Point-W.Salem,726606.0,483461.0,243145.0
19,519,"Charleston, Sc",353691.0,241482.0,112209.0
20,520,Augusta-Aiken,2670119.0,1843040.0,827079.0
21,521,Providence-New Bedford,635095.0,393874.0,241221.0
22,522,"Columbus, Ga (Opelika, Al)",223485.0,133832.0,89653.0
23,523,Burlington-Plattsburgh,367308.0,261193.0,106115.0
24,524,Atlanta,3689275.0,2417879.0,1271396.0
25,525,"Albany, Ga",151199.0,91267.0,59932.0
26,526,Utica,65043.0,48167.0,16876.0
27,527,Indianapolis,1192922.0,798775.0,394147.0
28,528,Miami-Ft. Lauderdale,1639936.0,927854.0,712082.0
29,529,Louisville,693773.0,474395.0,219378.0
30,530,Tallahassee-Thomasville,285883.0,174000.0,111883.0
31,531,"Tri-Cities, Tn-Va",316595.0,228559.0,88036.0
32,532,Albany-Schenectady-Troy,568640.0,377771.0,190869.0
33,533,Hartford & New Haven,1040367.0,685285.0,355082.0
34,534,Orlando-Daytona Bch-Melbrn,1598627.0,1083975.0,514652.0
35,535,"Columbus, Oh",994269.0,628214.0,366055.0
36,536,Youngstown,273239.0,193452.0,79787.0
37,537,Bangor,147271.0,109543.0,37728.0
38,538,"Rochester, Ny",4259319.0,1998068.0,2261251.0
39,539,Tampa-St. Pete (Sarasota),1935134.0,1330276.0,604858.0
40,540,Traverse City-Cadillac,1731468.0,1205825.0,525643.0
41,541,Lexington,511466.0,336840.0,174626.0
42,542,Dayton,495461.0,328622.0,166839.0
43,543,Springfield-Holyoke,270889.0,172968.0,97921.0
44,544,Norfolk-Portsmth-Newpt Nws,1355608.0,865562.0,490046.0
45,545,Greenville-N.Bern-Washngtn,316394.0,194805.0,121589.0
46,546,"Columbia, Sc",428426.0,293549.0,134877.0
47,547,Toledo,434058.0,292985.0,141073.0
48,548,West Palm Beach-Ft. Pierce,1091652.0,821013.0,270639.0
49,549,Watertown,708118.0,476289.0,231829.0
50,550,Wilmington,215165.0,148889.0,66276.0
51,551,Lansing,269293.0,184663.0,84630.0
52,552,Presque Isle,29594.0,21666.0,7928.0
53,553,Marquette,89826.0,67986.0,21840.0
54,554,Wheeling-Steubenville,131853.0,98056.0,33797.0
55,555,Syracuse,363356.0,242007.0,121349.0
56,556,Richmond-Petersburg,1250617.0,866058.0,384559.0
57,557,Knoxville,869815.0,596282.0,273533.0
58,558,Lima,73326.0,52736.0,20590.0
59,559,Bluefield-Beckley-Oak Hill,859421.0,634005.0,225416.0
60,560,Raleigh-Durham (Fayetvlle),1242329.0,793319.0,449010.0
61,561,Jacksonville,1317936.0,918986.0,398950.0
62,563,Grand Rapids-Kalmzoo-B.Crk,1142395.0,840351.0,302044.0
63,564,Charleston-Huntington,447236.0,325458.0,121778.0
64,565,Elmira (Corning),98271.0,70128.0,28143.0
65,566,Harrisburg-Lncstr-Leb-York,795432.0,563029.0,232403.0
66,567,Greenvll-Spart-Ashevll-And,4937757.0,3282902.0,1654855.0
67,569,Harrisonburg,64665.0,49851.0,14814.0
68,570,Myrtle Beach-Florence,305861.0,211451.0,94410.0
69,571,Ft. Myers-Naples,2395364.0,1482941.0,912423.0
70,573,Roanoke-Lynchburg,340753.0,255774.0,84979.0
71,574,Johnstown-Altoona-St Colge,300840.0,219261.0,81579.0
72,575,Chattanooga,1645718.0,1097548.0,548170.0
73,576,Salisbury,176968.0,130634.0,46334.0
74,577,Wilkes Barre-Scranton-Hztn,2369152.0,1716671.0,652481.0
75,581,Terre Haute,148016.0,105276.0,42740.0
76,582,"Lafayette, In",75121.0,42110.0,33011.0
77,583,Alpena,17884.0,14525.0,3359.0
78,584,Charlottesville,78863.0,56795.0,22068.0
79,588,South Bend-Elkhart,1213985.0,815712.0,398273.0
80,592,Gainesville,131884.0,79858.0,52026.0
81,596,Zanesville,33797.0,23575.0,10222.0
82,597,Parkersburg,62814.0,46046.0,16768.0
83,598,Clarksburg-Weston,106478.0,79764.0,26714.0
84,600,Corpus Christi,210360.0,131044.0,79316.0
85,602,Chicago,4754444.0,3173264.0,1581180.0
86,603,Joplin-Pittsburg,250571.0,169461.0,81110.0
