,DMA Code,DMA Name,total,total_18_29_yrs_old,total_30_44_yrs_old,total_45_64_yrs_old,total_65_older
0,500,Portland-Auburn,805029.0,135740.0,172424.0,291121.0,205744.0
1,501,New York,14364461.0,2951740.0,3351468.0,4911436.0,3149817.0
2,502,Binghamton,260837.0,54968.0,49980.0,89378.0,66511.0
3,503,Macon,509286.0,111960.0,119748.0,169883.0,107695.0
4,504,Philadelphia,5994736.0,1226104.0,1393630.0,2072847.0,1302155.0
5,505,Detroit,6491449.0,1314364.0,1439406.0,2304569.0,1433110.0
6,506,Boston (Manchester),4853683.0,1018181.0,1093497.0,1695186.0,1046819.0
7,507,Savannah,4028686.0,918410.0,1002585.0,1346897.0,760794.0
8,508,Pittsburgh,2223900.0,424035.0,485735.0,762155.0,551975.0
9,509,Ft. Wayne,1526164.0,310523.0,371156.0,525893.0,318592.0
10,510,Cleveland-Akron (Canton),2933140.0,569155.0,644056.0,1022863.0,697066.0
11,511,"Washington, Dc (Hagrstwn)",6174515.0,1237139.0,1561621.0,2167616.0,1208139.0
12,512,Baltimore,3267158.0,650482.0,778419.0,1138820.0,699437.0
13,513,Flint-Saginaw-Bay City,886201.0,178450.0,186748.0,307782.0,213221.0
14,514,Buffalo,6108123.0,1248101.0,1397819.0,2064697.0,1397506.0
15,515,Cincinnati,1782446.0,367536.0,427380.0,619659.0,367871.0
16,516,Erie,307791.0,60846.0,65786.0,106255.0,74904.0
17,517,Charlotte,2391465.0,489145.0,581531.0,839251.0,481538.0
18,518,Greensboro-H.Point-W.Salem,1346357.0,271048.0,287888.0,474258.0,313163.0
19,519,"Charleston, Sc",699841.0,143333.0,175717.0,230689.0,150102.0
20,520,Augusta-Aiken,5302203.0,1101841.0,1231319.0,1776762.0,1192281.0
21,521,Providence-New Bedford,1219262.0,255986.0,271148.0,422647.0,269481.0
22,522,"Columbus, Ga (Opelika, Al)",443841.0,113552.0,105814.0,139670.0,84805.0
23,523,Burlington-Plattsburgh,711314.0,146002.0,148485.0,246917.0,169910.0
