Market,DMA Name,universe
500,Portland-Auburn,75548.0
501,New York,567662.0
502,Binghamton,20629.0
503,Macon,48723.0
504,Philadelphia,383431.0
505,Detroit,421178.0
506,Boston (Manchester),294724.0
507,Savannah,343637.0
508,Pittsburgh,177738.0
509,Ft. Wayne,112771.0
510,Cleveland-Akron (Canton),217425.0
511,"Washington, Dc (Hagrstwn)",582182.0
512,Baltimore,265931.0
513,Flint-Saginaw-Bay City,70500.0
514,Buffalo,434856.0
515,Cincinnati,132786.0
516,Erie,28117.0
517,Charlotte,178645.0
518,Greensboro-H.Point-W.Salem,101179.0
519,"Charleston, Sc",76254.0
520,Augusta-Aiken,522650.0
521,Providence-New Bedford,80485.0
522,"Columbus, Ga (Opelika, Al)",47870.0
523,Burlington-Plattsburgh,52981.0
524,Atlanta,546584.0
525,"Albany, Ga",23707.0
526,Utica,10711.0
527,Indianapolis,169066.0
528,Miami-Ft. Lauderdale,125197.0
529,Louisville,113505.0
530,Tallahassee-Thomasville,46069.0
531,"Tri-Cities, Tn-Va",54288.0
532,Albany-Schenectady-Troy,80248.0
533,Hartford & New Haven,130847.0
534,Orlando-Daytona Bch-Melbrn,320647.0
535,"Columbus, Oh",140589.0
536,Youngstown,46052.0
537,Bangor,27027.0
538,"Rochester, Ny",310143.0
539,Tampa-St. Pete (Sarasota),388691.0
540,Traverse City-Cadillac,241922.0
541,Lexington,68566.0
542,Dayton,89138.0
543,Springfield-Holyoke,36560.0
544,Norfolk-Portsmth-Newpt Nws,348837.0
545,Greenville-N.Bern-Washngtn,72401.0
546,"Columbia, Sc",81995.0
547,Toledo,59822.0
548,West Palm Beach-Ft. Pierce,241632.0
549,Watertown,111593.0
550,Wilmington,39296.0
551,Lansing,36859.0
552,Presque Isle,6063.0
553,Marquette,17525.0
554,Wheeling-Steubenville,23086.0
555,Syracuse,51209.0
556,Richmond-Petersburg,223937.0
557,Knoxville,137577.0
558,Lima,10672.0
559,Bluefield-Beckley-Oak Hill,146014.0
560,Raleigh-Durham (Fayetvlle),212708.0
561,Jacksonville,320639.0
563,Grand Rapids-Kalmzoo-B.Crk,159758.0
564,Charleston-Huntington,65098.0
565,Elmira (Corning),18772.0
566,Harrisburg-Lncstr-Leb-York,127166.0
567,Greenvll-Spart-Ashevll-And,799967.0
569,Harrisonburg,10085.0
570,Myrtle Beach-Florence,54226.0
571,Ft. Myers-Naples,324366.0
573,Roanoke-Lynchburg,57110.0
574,Johnstown-Altoona-St Colge,51823.0
575,Chattanooga,259983.0
576,Salisbury,32011.0
577,Wilkes Barre-Scranton-Hztn,372858.0
581,Terre Haute,24473.0
582,"Lafayette, In",7383.0
583,Alpena,4016.0
584,Charlottesville,14422.0
588,South Bend-Elkhart,171033.0
592,Gainesville,22463.0
596,Zanesville,5353.0
597,Parkersburg,11616.0
598,Clarksburg-Weston,20022.0
600,Corpus Christi,39679.0
602,Chicago,503831.0
603,Joplin-Pittsburg,41670.0
604,Columbia-Jefferson City,30332.0
605,Topeka,34898.0
606,Dothan,22941.0
609,St. Louis,343954.0
610,Rockford,27687.0
611,Rochestr-Mason City-Austin,21757.0
612,Shreveport,98745.0
613,Minneapolis-St. Paul,468457.0
616,Kansas City,149669.0
617,Milwaukee,112529.0
618,Houston,286391.0
619,"Springfield, Mo",124807.0
622,New Orleans,87042.0
623,Dallas-Ft. Worth,381334.0
624,Sioux City,200178.0
625,Waco-Temple-Bryan,752778.0
626,Victoria,4960.0
627,Wichita Falls & Lawton,39627.0
628,Monroe-El Dorado,23211.0
630,Birmingham (Ann And Tusc),262070.0
631,Ottumwa-Kirksville,7002.0
632,Paducah-Cape Girard-Harsbg,126930.0
633,Odessa-Midland,20315.0
634,Amarillo,30972.0
635,Austin,120597.0
636,Harlingen-Wslco-Brnsvl-Mca,32165.0
637,Cedar Rapids-Wtrlo-Iwc&Dub,49305.0
638,St. Joseph,10727.0
639,"Jackson, Tn",14931.0
640,Memphis,430422.0
641,San Antonio,513556.0
642,"Lafayette, La",27997.0
643,Lake Charles,16990.0
644,"Alexandria, La",18386.0
647,Greenwood-Greenville,6038.0
648,Champaign&Sprngfld-Decatur,54203.0
649,Evansville,113425.0
650,Oklahoma City,225282.0
651,Lubbock,19322.0
652,Omaha,73984.0
656,Panama City,39325.0
657,Sherman-Ada,24551.0
658,Green Bay-Appleton,257257.0
659,Nashville,294216.0
661,San Angelo,112994.0
662,Abilene-Sweetwater,21765.0
669,Madison,51647.0
670,Ft. Smith-Fay-Sprngdl-Rgrs,52411.0
671,Tulsa,145624.0
673,Columbus-Tupelo-West Point,23856.0
675,Peoria-Bloomington,94032.0
676,Duluth-Superior,72585.0
678,Wichita-Hutchinson Plus,241593.0
