DMA Code,DMA Name,Universe,GDP,Median Household Income,Per Capita Income Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish Household,Owner Occupied,Default CPM
500,Portland-Auburn,1008275,11230401.53,64693.75639,35940.38665,228275.1272,533758,330180,258392,5528,750581,9.99665636
501,New York,21240907,125693661.8,84630.64857,45310.15662,521733.3416,11230353,6201441,6132140,1445609,11764407,13.67506673
502,Binghamton,332676,6088613.438,53276.68693,29749.2748,120780.6944,163478,105651,59537,3426,232507,9.1543054
503,Macon,671178,4089189.911,48606.09964,25830.70183,123075.0545,288031,159048,98799,7804,414423,7.68809956
504,Philadelphia,8134792,50873534.72,74612.13819,39242.13138,247716.54,4221193,2401488,2066756,260109,5575586,11.78393778
505,Detroit,8670610,77385974.34,66025.63399,36064.96755,187916.0368,4349062,2670264,2018089,98527,6359527,10.69559149
506,Boston (Manchester),6627031,88048514.41,89582.6955,47147.97599,434312.2472,3661658,2102672,2148444,191282,4363862,12.02072135
507,Savannah,5681331,9023821.675,63345.52438,33303.17347,213412.5567,2718792,1517366,1264075,148009,3558723,12.81135997
508,Pittsburgh,2797681,49392777.13,60318.58403,35819.19473,157706.7522,1450725,911787,691372,17411,2007794,11.13916404
509,Ft. Wayne,2086731,12822315.63,66047.87183,33069.6111,162368.7853,1055284,616316,429361,28937,1563592,9.11916828
510,Cleveland-Akron (Canton),3811998,43059931.8,57455.42549,32889.10311,149768.1303,1954105,1187949,764942,47696,2604785,11.52007408
511,"Washington, Dc (Hagrstwn)",8819112,65196003.32,101533.9415,47838.02299,416036.6637,4773668,2623660,2767377,270599,6075348,13.12503456
512,Baltimore,4399795,38264599.97,84635.10592,41991.94382,291552.6544,2353981,1342745,1202509,71010,3037386,12.42972538
513,Flint-Saginaw-Bay City,1134339,8333711.806,50694.69096,28509.7916,116727.1177,528680,333256,167135,8577,830464,11.16896782
514,Buffalo,8005500,39950660.92,61301.41237,34609.84963,182157.3431,4062507,2422973,1849202,158857,5368730,10.14733635
515,Cincinnati,2396322,35232031.42,66133.73685,35162.98369,173228.4908,1211978,722446,535738,22953,1662018,9.95450205
516,Erie,396586,8389036.109,52577.9996,28660.9317,130341.4407,195939,121901,71643,3421,275534,9.04025706
517,Charlotte,3313604,47558902.56,62519.58029,33923.46713,204866.7224,1625463,931160,732247,81100,2239906,11.21196461
518,Greensboro-H.Point-W.Salem,1823599,17399750.12,51703.24971,29087.66463,154630.4148,870191,504389,335191,45216,1211745,10.62705224
519,"Charleston, Sc",921539,18737035.93,62831.83981,35585.50283,252431.4052,446228,248724,221687,13083,627804,10.30701727
520,Augusta-Aiken,7058016,6597794.091,55647.90023,29805.20404,171726.9307,3270774,1843427,1329810,118839,4790241,8.49491684
521,Providence-New Bedford,1621099,25729417.06,70595.98418,37294.30223,292307.8513,867526,497928,375163,58382,1034885,9.88358757
522,"Columbus, Ga (Opelika, Al)",591182,5635756.065,48521.50898,26583.63907,144361.6654,277711,155121,100489,9816,344746,9.16817563
523,Burlington-Plattsburgh,890185,4701299.148,63946.34876,35048.91893,215608.5296,473413,282346,231670,5135,625889,8.45592213
524,Atlanta,10164796,51292767.28,67769.12819,34351.16582,222227.1286,4941173,2795626,2375157,287469,6695479,12.80115624
525,"Albany, Ga",409495,1823982.985,42604.46476,22381.15301,103155.2263,178459,96628,44049,8721,231844,7.17951502
526,Utica,158612,2141174.427,57508.92288,30822.82138,135814.4926,80687,47696,31175,1171,114294,9.51023933
527,Indianapolis,3056201,36973287.19,62146.70985,32426.52306,160073.1241,1533665,883322,642445,50050,2076607,9.85764352
528,Miami-Ft. Lauderdale,4722938,157133300.1,57118.85169,31717.12275,302997.7113,2426405,1197956,1067802,755741,2708604,14.49583107
529,Louisville,1771333,27232219.98,59531.85982,31726.11004,166739.8157,888524,509975,322422,22047,1224077,9.09280919
530,Tallahassee-Thomasville,755198,7765326.022,48932.32271,26734.91967,157632.8519,351867,203109,140332,14679,443748,9.88543419
531,"Tri-Cities, Tn-Va",767333,3894297.912,43947.52767,26012.10167,129135.2156,332038,211775,112281,5003,546088,9.43593993
532,Albany-Schenectady-Troy,1382384,13480631.62,68115.59975,37238.39871,208102.7521,729537,442850,341102,18019,939865,10.43990781
533,Hartford & New Haven,2626243,50013264.43,75794.86111,40928.19395,250062.0813,1440579,828357,679987,111465,1765307,11.72279716
534,Orlando-Daytona Bch-Melbrn,4303370,49525382.14,58592.51623,31044.54894,228346.286,1913344,1213830,935077,249022,2847805,12.5484325
535,"Columbus, Oh",2590889,56405965.33,65109.87583,33473.3547,183392.4707,1298964,772705,585911,25533,1658478,11.48992504
536,Youngstown,640629,6810217.279,48275.16299,27796.98913,109585.3822,309270,196660,96252,5205,450601,8.65443566
537,Bangor,345066,4128639.585,51654.08204,29492.30792,153131.7957,171850,107515,69719,1468,257833,14.18854547
538,"Rochester, Ny",11049719,3885811.639,73850.33146,43387.69741,566093.7364,5850047,3312798,3155078,629151,5387863,10.24207184
