DMA_CODE,DMA_NAME,UNIVERSE,TOTAL_18_TO_34_AGE,TOTAL_35_TO_49_AGE,TOTAL_50_TO_64_AGE,TOTAL_65_AND_OVER_AGE,MALE_18_TO_34_AGE,MALE_35_TO_49_AGE,MALE_50_TO_64_AGE,MALE_65_AND_OVER_AGE,FEMALE_18_TO_34_AGE,FEMALE_35_TO_49_AGE,FEMALE_50_TO_64_AGE,FEMALE_65_AND_OVER_AGE,GDP_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSING_VALUE,CPM
500,Portland-Auburn,1008275.0,200184.0,181228.0,230480.0,207757.0,101205.0,89490.0,111696.0,94302.0,98979.0,91738.0,118784.0,113455.0,18.46163814345816,62479.568406197286,217444.6281266568,9.99665636
501,New York,21240907.0,4913478.0,4147589.0,4234510.0,3374066.0,2456171.0,2032906.0,2031511.0,1435853.0,2457307.0,2114683.0,2202999.0,1938213.0,35.112843055585216,83963.2671506478,401532.883135444,13.67506673
502,Binghamton,332676.0,75200.0,53693.0,72019.0,67159.0,38810.0,26713.0,35617.0,30465.0,36390.0,26980.0,36402.0,36694.0,18.30193172380945,53276.68692962522,120780.6944294148,9.1543054
503,Macon,671178.0,156691.0,123382.0,132213.0,108356.0,80853.0,62399.0,64126.0,47006.0,75838.0,60983.0,68087.0,61350.0,6.092556536775106,48606.09963526814,123075.05445649292,7.68809956
504,Philadelphia,8134792.0,1868766.0,1510765.0,1655544.0,1334254.0,938706.0,739378.0,793902.0,574065.0,930060.0,771387.0,861642.0,760189.0,26.577047938183295,74279.66391447197,247760.85905031572,11.78393778
505,Detroit,8670610.0,1922206.0,1599261.0,1815289.0,1462353.0,976675.0,785746.0,882100.0,644240.0,945531.0,813515.0,933189.0,818113.0,8.925089968948763,66025.63398792011,187916.03681863213,10.69559149
506,Boston (Manchester),6627031.0,1605131.0,1244309.0,1381486.0,1085624.0,806279.0,612330.0,669607.0,474354.0,798852.0,631979.0,711879.0,611270.0,18.050286836283796,86472.31560404276,374548.23845824733,12.02072135
507,Savannah,5681331.0,1371613.0,1126791.0,1053626.0,779801.0,691300.0,544874.0,504163.0,341040.0,680313.0,581917.0,549463.0,438761.0,16.56286693335087,64418.195822901114,241475.01959892357,12.81135997
508,Pittsburgh,2797681.0,622528.0,491703.0,601838.0,555374.0,319913.0,247426.0,292925.0,241786.0,302615.0,244277.0,308913.0,313588.0,34.28475368909074,56315.34736740321,180193.58778334784,11.139164040000002
509,Ft. Wayne,2086731.0,452548.0,396093.0,403324.0,321006.0,227494.0,196101.0,197846.0,141742.0,225054.0,199992.0,205478.0,179264.0,14.165879595451443,61240.47808230689,135637.8078630972,9.11916828
510,Cleveland-Akron (Canton),3811998.0,817343.0,674096.0,802009.0,704085.0,411905.0,331844.0,387040.0,307121.0,405438.0,342252.0,414969.0,396964.0,11.295895696231916,57455.425487369095,149768.13025610193,11.52007408
511,"Washington, Dc (Hagrstwn)",8819112.0,1999636.0,1812470.0,1744323.0,1257596.0,1009117.0,894454.0,848305.0,557138.0,990519.0,918016.0,896018.0,700458.0,17.624629819052856,84029.55037093817,360870.4119235543,13.12503456
512,Baltimore,4399795.0,995065.0,827237.0,904932.0,713019.0,495583.0,398835.0,430966.0,307864.0,499482.0,428402.0,473966.0,405155.0,8.696905188966435,84635.10592107133,291552.65440776217,12.42972538
513,Flint-Saginaw-Bay City,1134339.0,243864.0,196521.0,241155.0,214301.0,123237.0,97353.0,117142.0,95785.0,120627.0,99168.0,124013.0,118516.0,7.346755957531206,50694.69095922824,116727.1177311192,11.16896782
514,Buffalo,8005500.0,1876805.0,1424950.0,1644811.0,1419671.0,947836.0,705668.0,794079.0,612593.0,928969.0,719282.0,850732.0,807078.0,13.73573990515359,59830.44603583026,166600.38418448347,10.14733635
515,Cincinnati,2396322.0,537413.0,446440.0,480063.0,370475.0,271387.0,220202.0,233704.0,163970.0,266026.0,226238.0,246359.0,206505.0,16.644513347798473,66240.9075110011,168227.93335235995,9.95450205
516,Erie,396586.0,86354.0,67809.0,83804.0,75300.0,43852.0,33642.0,41336.0,34066.0,42502.0,34167.0,42468.0,41234.0,21.153132257071356,52577.99959655662,130341.4406963433,9.04025706
517,Charlotte,3313604.0,742593.0,676041.0,644233.0,490214.0,370153.0,329568.0,312147.0,214482.0,372440.0,346473.0,332086.0,275732.0,20.11720292241745,62885.994197389446,200939.9796149236,11.21196461
518,Greensboro-H.Point-W.Salem,1823599.0,395826.0,337176.0,373926.0,316516.0,192260.0,162500.0,179729.0,137517.0,203566.0,174676.0,194197.0,178999.0,15.485517342486432,49345.40950940203,139316.43928726274,10.62705224
519,"Charleston, Sc",921539.0,217321.0,175014.0,179353.0,151159.0,109896.0,85508.0,84229.0,67411.0,107425.0,89506.0,95124.0,83748.0,20.33233095131436,62831.839809275574,252431.4051819836,10.30701727
520,Augusta-Aiken,7058016.0,1592534.0,1301101.0,1382753.0,1203046.0,802951.0,630314.0,654767.0,532620.0,789583.0,670787.0,727986.0,670426.0,2.6203808468595313,55769.309990149515,164548.67143034504,8.49491684
521,Providence-New Bedford,1621099.0,381419.0,296820.0,342879.0,277984.0,191721.0,145690.0,165181.0,120088.0,189698.0,151130.0,177698.0,157896.0,35.98690555036957,70795.60086802962,298266.35709275305,9.88358757
522,"Columbus, Ga (Opelika, Al)",591182.0,158020.0,106517.0,107436.0,85683.0,83284.0,52275.0,51411.0,36902.0,74736.0,54242.0,56025.0,48781.0,18.73576099125657,48496.374985828734,144532.43274339387,9.16817563
523,Burlington-Plattsburgh,890185.0,204448.0,155007.0,197495.0,171554.0,107559.0,78174.0,97089.0,79272.0,96889.0,76833.0,100406.0,92282.0,21.90865733616789,62943.55367828077,195726.9405742408,8.45592213
524,Atlanta,10164796.0,2367296.0,2075321.0,1924270.0,1376531.0,1175553.0,1002390.0,923863.0,601901.0,1191743.0,1072931.0,1000407.0,774630.0,12.05420598899586,51882.90077164272,179806.9054128325,12.80115624
525,"Albany, Ga",409495.0,91245.0,76217.0,77215.0,65714.0,46438.0,37984.0,36954.0,28188.0,44807.0,38233.0,40261.0,37526.0,4.454225288531688,42604.464755369416,103155.22631533962,7.17951502
526,Utica,158612.0,35276.0,25725.0,35349.0,34059.0,17947.0,13057.0,17460.0,15769.0,17329.0,12668.0,17889.0,18290.0,13.499447878823878,57508.92288099261,135814.49259829018,9.51023933
527,Indianapolis,3056201.0,721483.0,578940.0,582496.0,457438.0,361953.0,287736.0,283596.0,200140.0,359530.0,291204.0,298900.0,257298.0,12.0977930398689,62146.70985481649,160073.12411716377,9.85764352
528,Miami-Ft. Lauderdale,4722938.0,1041127.0,973973.0,952472.0,780801.0,527846.0,482210.0,460378.0,334769.0,513281.0,491763.0,492094.0,446032.0,33.270244096119406,57118.85168723367,302997.7112763284,14.49583107
529,Louisville,1771333.0,387068.0,338305.0,359594.0,285256.0,195592.0,168116.0,174146.0,125439.0,191476.0,170189.0,185448.0,159817.0,16.34925088376165,58731.84589880287,158696.85145446553,9.09280919
530,Tallahassee-Thomasville,755198.0,212361.0,132202.0,136096.0,116915.0,106852.0,66312.0,65383.0,51878.0,105509.0,65890.0,70713.0,65037.0,16.039696244818543,47869.560173951744,151531.0118901571,9.88543419
531,"Tri-Cities, Tn-Va",767333.0,153219.0,140566.0,166205.0,161581.0,79293.0,71298.0,80944.0,72981.0,73926.0,69268.0,85261.0,88600.0,8.92107820420961,40375.535784522464,103039.51413517444,9.43593993
