COUNTRY_CODE,COUNTRY_NAME,P18+,MEDIAN_HOUSEHOLD_INCOME,GDP_PER_CAPITA,CPM
AE,United Arab Emirates,7944,,49451,8.13
AT,Austria,8000,25119,58013,16.86
AU,Australia,16237,,64964,36.21
BE,Belgium,10400,24124,53657,15.43
BH,Bahrain,1871,,28385,0.35
BR,Brazil,132157,,9673,6.65
CH,Switzerland,7600,27161,102865,23.13
CN,China,755409,,13721,1
CZ,Czechia,9000,15354,30475,2.95
DE,Germany,69900,23197,52824,18.79
DK,Denmark,5300,23244,71402,17.49
EE,Estonia,1200,17075,30998,0.35
EG,Egypt,43264,,3644,0.29
ES,Spain,39400,17255,33090,14.22
FI,Finland,5000,20941,54507,11.29
FR,France,55900,20575,46315,15.53
GB,United Kingdom,42255,,46371,21.59
HK,Hong Kong,5006,,52429,17.23
HR,Croatia,3600,12277,20877,1.85
HU,Hungary,8700,10229,21075,0.90
IE,Ireland,4700,20207,112248,18.20
IN,India,415824,,2601,0.7
IT,Italy,52400,18472,37146,13.66
JP,Japan,69938,,35385,10.53
KW,Kuwait,4450,,33646,6.56
LT,Lithuania,2400,14202,28482,6.86
LV,Latvia,1600,12899,24929,6.60
NL,Nethelands,15700,25436,61770,17.77
NO,Norway,4900,27093,99266,20.17
OM,Oman,5492,,21960,3.78
PL,Poland,37300,14953,22393,7.67
QA,Qatar,2600,,83891,1.11
RO,Romania,17500,10039,18413,1.85
SA,Saudi Arabia,20254,,29922,0.33
SE,Sweden,9100,20568,55216,13.36
SG,Singapore,4207,,91000,17.75
SI,Slovenia,1800,18792,32350,8.28
SK,Slovakia,5100,9826,24471,0.67
US,United States,206341,,80034,32.75
